        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40050000e+00,        +4.932171850630e-10,        +1.112698953331e-09,        +4.872491419492e-10,        +6.036336206735e-10,        +1.853540395130e-07,        +2.316029799466e-07,        +3.922507653813e-10,        +1.496557499878e-09,        +3.406819052889e-10,        +7.668526775040e-10,        +1.674817624655e-07,        +2.559373116271e-07,        +8.004348144843e-11,        +1.951681487572e-09,        -1.808560368634e-10,        +1.190104628493e-09,        +8.304278808882e-08,        +3.314377432860e-07,        -7.033881041330e-10,        +2.128512351322e-09,        -7.472978526928e-11,        +2.208078362739e-10,        +1.642515621210e-08,        +1.655068240218e-07
 2.40052500e+00,        +4.939079390039e-10,        +1.113223028053e-09,        +4.877363612119e-10,        +6.038511098439e-10,        +1.854823116700e-07,        +2.316962184568e-07,        +3.929368150524e-10,        +1.497287898694e-09,        +3.411217061078e-10,        +7.670933586970e-10,        +1.676038653438e-07,        +2.560459788354e-07,        +8.064847194446e-11,        +1.952771864744e-09,        -1.805582673412e-10,        +1.190529869519e-09,        +8.312990971308e-08,        +3.315967244812e-07,        -7.035994274350e-10,        +2.128859765090e-09,        -7.470728340355e-11,        +2.209037247315e-10,        +1.644674985925e-08,        +1.655531511414e-07
 2.40055000e+00,        +4.945984787465e-10,        +1.113746988167e-09,        +4.882233840776e-10,        +6.040683724175e-10,        +1.856107432505e-07,        +2.317895222530e-07,        +3.936227333024e-10,        +1.498018399583e-09,        +3.415613500674e-10,        +7.673338232204e-10,        +1.677261219280e-07,        +2.561547242316e-07,        +8.125342922431e-11,        +1.953862575262e-09,        -1.802605343909e-10,        +1.190954906763e-09,        +8.321715884466e-08,        +3.317558383872e-07,        -7.038112129292e-10,        +2.129206946179e-09,        -7.468485706674e-11,        +2.209992719958e-10,        +1.646837742617e-08,        +1.655995187917e-07
 2.40057500e+00,        +4.952888046887e-10,        +1.114270834413e-09,        +4.887102106985e-10,        +6.042854086909e-10,        +1.857393345292e-07,        +2.318828913734e-07,        +3.943085207015e-10,        +1.498749003567e-09,        +3.420008372757e-10,        +7.675740713277e-10,        +1.678485324907e-07,        +2.562635478830e-07,        +8.185835394858e-11,        +1.954953620593e-09,        -1.799628380431e-10,        +1.191379740501e-09,        +8.330453573662e-08,        +3.319150851764e-07,        -7.040234614044e-10,        +2.129553895088e-09,        -7.466250659999e-11,        +2.210944781132e-10,        +1.649003898101e-08,        +1.656459270242e-07
 2.40060000e+00,        +4.959789172247e-10,        +1.114794567529e-09,        +4.891968412284e-10,        +6.045022189604e-10,        +1.858680857818e-07,        +2.319763258563e-07,        +3.949941778230e-10,        +1.499479711677e-09,        +3.424401678391e-10,        +7.678141032748e-10,        +1.679710973052e-07,        +2.563724498573e-07,        +8.246324678324e-11,        +1.956045002221e-09,        -1.796651783296e-10,        +1.191804371006e-09,        +8.339204064266e-08,        +3.320744650214e-07,        -7.042361736497e-10,        +2.129900612316e-09,        -7.464023234486e-11,        +2.211893431296e-10,        +1.651173459208e-08,        +1.656923758906e-07
 2.40062500e+00,        +4.966688167531e-10,        +1.115318188256e-09,        +4.896832758189e-10,        +6.047188035211e-10,        +1.859969972843e-07,        +2.320698257399e-07,        +3.956797052389e-10,        +1.500210524934e-09,        +3.428793418655e-10,        +7.680539193145e-10,        +1.680938166456e-07,        +2.564814302220e-07,        +8.306810839177e-11,        +1.957136721613e-09,        -1.793675552794e-10,        +1.192228798560e-09,        +8.347967381711e-08,        +3.322339780950e-07,        -7.044493504557e-10,        +2.130247098362e-09,        -7.461803464321e-11,        +2.212838670905e-10,        +1.653346432787e-08,        +1.657388654426e-07
 2.40065000e+00,        +4.973585036691e-10,        +1.115841697329e-09,        +4.901695146226e-10,        +6.049351626688e-10,        +1.861260693135e-07,        +2.321633910624e-07,        +3.963651035248e-10,        +1.500941444366e-09,        +3.433183594621e-10,        +7.682935197011e-10,        +1.682166907863e-07,        +2.565904890444e-07,        +8.367293944144e-11,        +1.958228780249e-09,        -1.790699689252e-10,        +1.192653023436e-09,        +8.356743551492e-08,        +3.323936245703e-07,        -7.046629926140e-10,        +2.130593353726e-09,        -7.459591383721e-11,        +2.213780500404e-10,        +1.655522825705e-08,        +1.657853957320e-07
 2.40067500e+00,        +4.980479783703e-10,        +1.116365095490e-09,        +4.906555577926e-10,        +6.051512966979e-10,        +1.862553021465e-07,        +2.322570218618e-07,        +3.970503732534e-10,        +1.501672471001e-09,        +3.437572207350e-10,        +7.685329046867e-10,        +1.683397200024e-07,        +2.566996263921e-07,        +8.427774060100e-11,        +1.959321179603e-09,        -1.787724192960e-10,        +1.193077045912e-09,        +8.365532599166e-08,        +3.325534046204e-07,        -7.048771009179e-10,        +2.130939378909e-09,        -7.457387026938e-11,        +2.214718920239e-10,        +1.657702644843e-08,        +1.658319668106e-07
 2.40070000e+00,        +4.987372412539e-10,        +1.116888383474e-09,        +4.911414054796e-10,        +6.053672059027e-10,        +1.863846960614e-07,        +2.323507181762e-07,        +3.977355150027e-10,        +1.502403605864e-09,        +3.441959257906e-10,        +7.687720745249e-10,        +1.684629045697e-07,        +2.568088423326e-07,        +8.488251254350e-11,        +1.960413921162e-09,        -1.784749064247e-10,        +1.193500866260e-09,        +8.374334550355e-08,        +3.327133184187e-07,        -7.050916761610e-10,        +2.131285174409e-09,        -7.455190428256e-11,        +2.215653930846e-10,        +1.659885897104e-08,        +1.658785787305e-07
 2.40072500e+00,        +4.994262927178e-10,        +1.117411562021e-09,        +4.916270578365e-10,        +6.055828905767e-10,        +1.865142513367e-07,        +2.324444800434e-07,        +3.984205293478e-10,        +1.503134849983e-09,        +3.446344747360e-10,        +7.690110294676e-10,        +1.685862447647e-07,        +2.569181369332e-07,        +8.548725593762e-11,        +1.961507006396e-09,        -1.781774303402e-10,        +1.193924484759e-09,        +8.383149430743e-08,        +3.328733661389e-07,        -7.053067191387e-10,        +2.131630740730e-09,        -7.453001621992e-11,        +2.216585532659e-10,        +1.662072589405e-08,        +1.659252315436e-07
