        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41010000e+00,        +7.554495191517e-11,        +8.793081790112e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.529075915580e-13,        +2.024061008467e-03,        +7.506972044895e-13,        +8.537361785190e-03,        +1.529075915580e-13,        +2.024061008467e-03,        +7.506972044895e-13,        +8.537361785190e-03,        +9.605817431960e-14,        +1.271536639900e-03,        +4.506073322941e-13,        +5.124566597354e-03,        +7.523100872554e-11,        +9.958442863266e-01,        +8.625937034605e-11,        +9.809913339263e-01,        +6.497742375375e-14,        +8.601160250484e-04,        +4.701430182852e-13,        +5.346737691146e-03
 2.41010500e+00,        +7.555428862499e-11,        +8.793979554819e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.529494852606e-13,        +2.024365367528e-03,        +7.508741603567e-13,        +8.538502457004e-03,        +1.529494852606e-13,        +2.024365367528e-03,        +7.508741603567e-13,        +8.538502457004e-03,        +9.608252895430e-14,        +1.271701854427e-03,        +4.507131115056e-13,        +5.125246297151e-03,        +7.524026492090e-11,        +9.958437342234e-01,        +8.626795454873e-11,        +9.809888004738e-01,        +6.499168986895e-14,        +8.601985545987e-04,        +4.702537275974e-13,        +5.347450772042e-03
 2.41011000e+00,        +7.556362868498e-11,        +8.794877650914e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.529913949623e-13,        +2.024669773339e-03,        +7.510511801060e-13,        +8.539643300528e-03,        +1.529913949623e-13,        +2.024669773339e-03,        +7.510511801060e-13,        +8.539643300528e-03,        +9.610689262506e-14,        +1.271867091319e-03,        +4.508189287324e-13,        +5.125926097283e-03,        +7.524952443645e-11,        +9.958431820440e-01,        +8.627654192384e-11,        +9.809862666466e-01,        +6.500596094744e-14,        +8.602810912965e-04,        +4.703644764683e-13,        +5.348163955634e-03
 2.41011500e+00,        +7.557297209677e-11,        +8.795776078557e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.530333206711e-13,        +2.024974225906e-03,        +7.512282637680e-13,        +8.540784315774e-03,        +1.530333206711e-13,        +2.024974225906e-03,        +7.512282637680e-13,        +8.540784315774e-03,        +9.613126533629e-14,        +1.272032350576e-03,        +4.509247839926e-13,        +5.126605997757e-03,        +7.525878727377e-11,        +9.958426297884e-01,        +8.628513247289e-11,        +9.809837324445e-01,        +6.502023699158e-14,        +8.603636351410e-04,        +4.704752649169e-13,        +5.348877241928e-03
 2.41012000e+00,        +7.558231886195e-11,        +8.796674837906e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.530752623948e-13,        +2.025278725232e-03,        +7.514054113734e-13,        +8.541925502753e-03,        +1.530752623948e-13,        +2.025278725232e-03,        +7.514054113734e-13,        +8.541925502753e-03,        +9.615564709242e-14,        +1.272197632201e-03,        +4.510306773046e-13,        +5.127285998581e-03,        +7.526805343445e-11,        +9.958420774564e-01,        +8.629372619742e-11,        +9.809811978677e-01,        +6.503451800373e-14,        +8.604461861314e-04,        +4.705860929621e-13,        +5.349590630932e-03
 2.41012500e+00,        +7.559166898213e-11,        +8.797573929122e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.531172201415e-13,        +2.025583271322e-03,        +7.515826229529e-13,        +8.543066861478e-03,        +1.531172201415e-13,        +2.025583271322e-03,        +7.515826229529e-13,        +8.543066861478e-03,        +9.618003789787e-14,        +1.272362936193e-03,        +4.511366086866e-13,        +5.127966099759e-03,        +7.527732292011e-11,        +9.958415250482e-01,        +8.630232309895e-11,        +9.809786629161e-01,        +6.504880398623e-14,        +8.605287442668e-04,        +4.706969606230e-13,        +5.350304122650e-03
 2.41013000e+00,        +7.560102245894e-11,        +8.798473352364e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.531591939191e-13,        +2.025887864179e-03,        +7.517598985372e-13,        +8.544208391961e-03,        +1.531591939191e-13,        +2.025887864179e-03,        +7.517598985372e-13,        +8.544208391961e-03,        +9.620443775708e-14,        +1.272528262555e-03,        +4.512425781569e-13,        +5.128646301301e-03,        +7.528659573232e-11,        +9.958409725637e-01,        +8.631092317903e-11,        +9.809761275896e-01,        +6.506309494144e-14,        +8.606113095464e-04,        +4.708078679186e-13,        +5.351017717091e-03
 2.41013500e+00,        +7.561037929399e-11,        +8.799373107793e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.532011837356e-13,        +2.026192503808e-03,        +7.519372381570e-13,        +8.545350094214e-03,        +1.532011837356e-13,        +2.026192503808e-03,        +7.519372381570e-13,        +8.545350094214e-03,        +9.622884667448e-14,        +1.272693611288e-03,        +4.513485857338e-13,        +5.129326603211e-03,        +7.529587187270e-11,        +9.958404200029e-01,        +8.631952643917e-11,        +9.809735918883e-01,        +6.507739087173e-14,        +8.606938819696e-04,        +4.709188148678e-13,        +5.351731414261e-03
 2.41014000e+00,        +7.561973948888e-11,        +8.800273195569e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.532431895989e-13,        +2.026497190213e-03,        +7.521146418432e-13,        +8.546491968248e-03,        +1.532431895989e-13,        +2.026497190213e-03,        +7.521146418432e-13,        +8.546491968248e-03,        +9.625326465451e-14,        +1.272858982391e-03,        +4.514546314356e-13,        +5.130007005497e-03,        +7.530515134284e-11,        +9.958398673659e-01,        +8.632813288092e-11,        +9.809710558121e-01,        +6.509169177945e-14,        +8.607764615352e-04,        +4.710298014898e-13,        +5.352445214167e-03
 2.41014500e+00,        +7.562910304523e-11,        +8.801173615851e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.532852115170e-13,        +2.026801923399e-03,        +7.522921096265e-13,        +8.547634014077e-03,        +1.532852115170e-13,        +2.026801923399e-03,        +7.522921096265e-13,        +8.547634014077e-03,        +9.627769170161e-14,        +1.273024375868e-03,        +4.515607152805e-13,        +5.130687508166e-03,        +7.531443414435e-11,        +9.958393146525e-01,        +8.633674250580e-11,        +9.809685193609e-01,        +6.510599766696e-14,        +8.608590482426e-04,        +4.711408278036e-13,        +5.353159116814e-03
