        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41010000e+00,        +4.640016353093e-11,        +9.977500547679e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.959486909843e-14,        +1.715400615892e-03,        +4.206710131256e-13,        +4.216196342114e-03,        +7.959486909843e-14,        +1.715400615892e-03,        +4.206710131256e-13,        +4.216196342114e-03,        +5.092456457753e-14,        +1.097508299590e-03,        +2.508814511824e-13,        +2.514471935968e-03,        +4.623488724198e-11,        +9.964380235677e-01,        +9.884463261548e-11,        +9.906752913030e-01,        +3.475685527688e-14,        +7.490675168356e-04,        +2.588203970048e-13,        +2.594040418921e-03
 2.41010500e+00,        +4.640551555040e-11,        +9.978006827449e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.961742709912e-14,        +1.715688882126e-03,        +4.207738838163e-13,        +4.217013388473e-03,        +7.961742709912e-14,        +1.715688882126e-03,        +4.207738838163e-13,        +4.217013388473e-03,        +5.093787801112e-14,        +1.097668615615e-03,        +2.509422388070e-13,        +2.514953568850e-03,        +4.624019553424e-11,        +9.964374920913e-01,        +9.884946938760e-11,        +9.906734991970e-01,        +3.476471104750e-14,        +7.491504110054e-04,        +2.588827642643e-13,        +2.594533845699e-03
 2.41011000e+00,        +4.641086952438e-11,        +9.978513301392e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.963999394989e-14,        +1.715977200299e-03,        +4.208767926863e-13,        +4.217830652464e-03,        +7.963999394989e-14,        +1.715977200299e-03,        +4.208767926863e-13,        +4.217830652464e-03,        +5.095119651074e-14,        +1.097828957589e-03,        +2.510030488515e-13,        +2.515435328592e-03,        +4.624550576430e-11,        +9.964369605274e-01,        +9.885430801806e-11,        +9.906717066186e-01,        +3.477256961464e-14,        +7.492333147600e-04,        +2.589451543227e-13,        +2.595027400390e-03
 2.41011500e+00,        +4.641622545382e-11,        +9.979019969606e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.966256965524e-14,        +1.716265570420e-03,        +4.209797397544e-13,        +4.218648134152e-03,        +7.966256965524e-14,        +1.716265570420e-03,        +4.209797397544e-13,        +4.218648134152e-03,        +5.096452007894e-14,        +1.097989325514e-03,        +2.510638813268e-13,        +2.515917215232e-03,        +4.625081793311e-11,        +9.964364288760e-01,        +9.885914850779e-11,        +9.906699135676e-01,        +3.478043097966e-14,        +7.493162280993e-04,        +2.590075671911e-13,        +2.595521083032e-03
 2.41012000e+00,        +4.642158333969e-11,        +9.979526832184e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.968515421965e-14,        +1.716553992494e-03,        +4.210827250395e-13,        +4.219465833606e-03,        +7.968515421965e-14,        +1.716553992494e-03,        +4.210827250395e-13,        +4.219465833606e-03,        +5.097784871824e-14,        +1.098149719393e-03,        +2.511247362440e-13,        +2.516399228810e-03,        +4.625613204161e-11,        +9.964358971371e-01,        +9.886399085768e-11,        +9.906681200439e-01,        +3.478829514391e-14,        +7.493991510231e-04,        +2.590700028808e-13,        +2.596014893665e-03
 2.41012500e+00,        +4.642694318297e-11,        +9.980033889225e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.970774764768e-14,        +1.716842466530e-03,        +4.211857485604e-13,        +4.220283750892e-03,        +7.970774764768e-14,        +1.716842466530e-03,        +4.211857485604e-13,        +4.220283750892e-03,        +5.099118243121e-14,        +1.098310139228e-03,        +2.511856136142e-13,        +2.516881369365e-03,        +4.626144809078e-11,        +9.964353653107e-01,        +9.886883506867e-11,        +9.906663260474e-01,        +3.479616210877e-14,        +7.494820835315e-04,        +2.591324614029e-13,        +2.596508832327e-03
 2.41013000e+00,        +4.643230498459e-11,        +9.980541140821e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.973034994378e-14,        +1.717130992533e-03,        +4.212888103359e-13,        +4.221101886077e-03,        +7.973034994378e-14,        +1.717130992533e-03,        +4.212888103359e-13,        +4.221101886077e-03,        +5.100452122037e-14,        +1.098470585022e-03,        +2.512465134484e-13,        +2.517363636935e-03,        +4.626676608155e-11,        +9.964348333968e-01,        +9.887368114166e-11,        +9.906645315779e-01,        +3.480403187556e-14,        +7.495650256241e-04,        +2.591949427687e-13,        +2.597002899057e-03
 2.41013500e+00,        +4.643766874554e-11,        +9.981048587071e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.975296111251e-14,        +1.717419570511e-03,        +4.213919103850e-13,        +4.221920239230e-03,        +7.975296111251e-14,        +1.717419570511e-03,        +4.213919103850e-13,        +4.221920239230e-03,        +5.101786508827e-14,        +1.098631056779e-03,        +2.513074357577e-13,        +2.517846031560e-03,        +4.627208601489e-11,        +9.964343013954e-01,        +9.887852907758e-11,        +9.906627366353e-01,        +3.481190444567e-14,        +7.496479773010e-04,        +2.592574469894e-13,        +2.597497093895e-03
 2.41014000e+00,        +4.644303446677e-11,        +9.981556228070e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.977558115835e-14,        +1.717708200471e-03,        +4.214950487263e-13,        +4.222738810417e-03,        +7.977558115835e-14,        +1.717708200471e-03,        +4.214950487263e-13,        +4.222738810417e-03,        +5.103121403745e-14,        +1.098791554500e-03,        +2.513683805530e-13,        +2.518328553278e-03,        +4.627740789175e-11,        +9.964337693065e-01,        +9.888337887734e-11,        +9.906609412194e-01,        +3.481977982043e-14,        +7.497309385619e-04,        +2.593199740761e-13,        +2.597991416878e-03
 2.41014500e+00,        +4.644840214925e-11,        +9.982064063914e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.979821008584e-14,        +1.717996882421e-03,        +4.215982253790e-13,        +4.223557599707e-03,        +7.979821008584e-14,        +1.717996882421e-03,        +4.215982253790e-13,        +4.223557599707e-03,        +5.104456807048e-14,        +1.098952078189e-03,        +2.514293478455e-13,        +2.518811202129e-03,        +4.628273171309e-11,        +9.964332371300e-01,        +9.888823054187e-11,        +9.906591453301e-01,        +3.482765800123e-14,        +7.498139094068e-04,        +2.593825240402e-13,        +2.598485868047e-03
