        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40050000e+00,        -9.566525796374e-01,        +8.791266571326e-01,        -5.433853288352e-01,        +4.708489096565e-01,        -2.359422783520e-03,        +1.206132278869e-03,        -1.133273683419e+00,        +9.668922231269e-01,        -2.457858533714e+00,        +2.257841217403e+00,        -7.003347895858e-03,        +4.930396878864e-03,        -1.342582887359e+00,        +1.155211694441e+00,        -5.996127823238e+00,        +5.457300871150e+00,        -1.678826131084e-02,        +1.288883741617e-02,        -9.787633839427e-02,        +8.226924324698e-02,        -1.794863906697e+01,        +1.613715216303e+01,        -4.264592473885e-02,        +3.762374096455e-02
 2.40052500e+00,        -9.568854439180e-01,        +8.793600049458e-01,        -5.442659051434e-01,        +4.716502686760e-01,        -2.361895721343e-03,        +1.208192523812e-03,        -1.133505902740e+00,        +9.671134517320e-01,        -2.460125594081e+00,        +2.259947900738e+00,        -7.007212570092e-03,        +4.933709329755e-03,        -1.342781829890e+00,        +1.155408724536e+00,        -6.000929741512e+00,        +5.461763744654e+00,        -1.679508622222e-02,        +1.289483689549e-02,        -9.701469555621e-02,        +8.150215707008e-02,        -1.796246902094e+01,        +1.614995035888e+01,        -4.269969602638e-02,        +3.767274550020e-02
 2.40055000e+00,        -9.571180742091e-01,        +8.795931545069e-01,        -5.451483833119e-01,        +4.724533922600e-01,        -2.364367072537e-03,        +1.210251849632e-03,        -1.133737888985e+00,        +9.673344912830e-01,        -2.462396380996e+00,        +2.262058061600e+00,        -7.011074838068e-03,        +4.937020238413e-03,        -1.342980551670e+00,        +1.155605575347e+00,        -6.005738699138e+00,        +5.466233205453e+00,        -1.680190791515e-02,        +1.290083430087e-02,        -9.615289577671e-02,        +8.073490270678e-02,        -1.797631759097e+01,        +1.616276599475e+01,        -4.275352353254e-02,        +3.772180326193e-02
 2.40057500e+00,        -9.573504709252e-01,        +8.798261061712e-01,        -5.460327658534e-01,        +4.732582828571e-01,        -2.366836848231e-03,        +1.212310265266e-03,        -1.133969642580e+00,        +9.675553421399e-01,        -2.464670900514e+00,        +2.264171705819e+00,        -7.014934713092e-03,        +4.940329615607e-03,        -1.343179053105e+00,        +1.155802247219e+00,        -6.010554708636e+00,        +5.470709265511e+00,        -1.680872640785e-02,        +1.290682964739e-02,        -9.529093905827e-02,        +7.996748013269e-02,        -1.799018481271e+01,        +1.617559910444e+01,        -4.280740738524e-02,        +3.777091436997e-02
 2.40060000e+00,        -9.575826344799e-01,        +8.800588602931e-01,        -5.469190552899e-01,        +4.740649429251e-01,        -2.369305059543e-03,        +1.214367779652e-03,        -1.134201163955e+00,        +9.677760046620e-01,        -2.466949158709e+00,        +2.266288839242e+00,        -7.018792208451e-03,        +4.943637472104e-03,        -1.343377334603e+00,        +1.155998740496e+00,        -6.015377782563e+00,        +5.475191936826e+00,        -1.681554171858e-02,        +1.291282295012e-02,        -9.442882540328e-02,        +7.919988932337e-02,        -1.800407072191e+01,        +1.618844972183e+01,        -4.286134771270e-02,        +3.782007894482e-02
 2.40062500e+00,        -9.578145652855e-01,        +8.802914172262e-01,        -5.478072541530e-01,        +4.748733749304e-01,        -2.371771717589e-03,        +1.216424401717e-03,        -1.134432453535e+00,        +9.679964792080e-01,        -2.469231161675e+00,        +2.268409467736e+00,        -7.022647337428e-03,        +4.946943818657e-03,        -1.343575396570e+00,        +1.156195055522e+00,        -6.020207933515e+00,        +5.479681231429e+00,        -1.682235386555e-02,        +1.291881422409e-02,        -9.356655481404e-02,        +7.843213025428e-02,        -1.801797535441e+01,        +1.620131788089e+01,        -4.291534464344e-02,        +3.786929710724e-02
 2.40065000e+00,        -9.580462637536e-01,        +8.805237773231e-01,        -5.486973649839e-01,        +4.756835813486e-01,        -2.374236833463e-03,        +1.218480140387e-03,        -1.134663511745e+00,        +9.682167661354e-01,        -2.471516915524e+00,        +2.270533597184e+00,        -7.026500113283e-03,        +4.950248666018e-03,        -1.343773239412e+00,        +1.156391192638e+00,        -6.025045174118e+00,        +5.484177161387e+00,        -1.682916286695e-02,        +1.292480348437e-02,        -9.270412729265e-02,        +7.766420290078e-02,        -1.803189874615e+01,        +1.621420361570e+01,        -4.296939830626e-02,        +3.791856897831e-02
 2.40067500e+00,        -9.582777302945e-01,        +8.807559409360e-01,        -5.495893903331e-01,        +4.764955646639e-01,        -2.376700418254e-03,        +1.220535004582e-03,        -1.134894339010e+00,        +9.684368658013e-01,        -2.473806426385e+00,        +2.272661233488e+00,        -7.030350549260e-03,        +4.953552024926e-03,        -1.343970863532e+00,        +1.156587152186e+00,        -6.029889517039e+00,        +5.488679738799e+00,        -1.683596874098e-02,        +1.293079074598e-02,        -9.184154284122e-02,        +7.689610723822e-02,        -1.804584093316e+01,        +1.622710696042e+01,        -4.302350883027e-02,        +3.796789467937e-02
 2.40070000e+00,        -9.585089653176e-01,        +8.809879084157e-01,        -5.504833327608e-01,        +4.773093273698e-01,        -2.379162483041e-03,        +1.222589003219e-03,        -1.135124935754e+00,        +9.686567785617e-01,        -2.476099700408e+00,        +2.274792382567e+00,        -7.034198658597e-03,        +4.956853906117e-03,        -1.344168269335e+00,        +1.156782934507e+00,        -6.034740974979e+00,        +5.493188975802e+00,        -1.684277150579e-02,        +1.293677602395e-02,        -9.097880146171e-02,        +7.612784324176e-02,        -1.805980195157e+01,        +1.624002794929e+01,        -4.307767634486e-02,        +3.801727433205e-02
 2.40072500e+00,        -9.587399692315e-01,        +8.812196801127e-01,        -5.513791948367e-01,        +4.781248719685e-01,        -2.381623038891e-03,        +1.224642145205e-03,        -1.135355302399e+00,        +9.688765047719e-01,        -2.478396743764e+00,        +2.276927050360e+00,        -7.038044454512e-03,        +4.960154320312e-03,        -1.344365457222e+00,        +1.156978539941e+00,        -6.039599560674e+00,        +5.497704884562e+00,        -1.684957117953e-02,        +1.294275933328e-02,        -9.011590315589e-02,        +7.535941088654e-02,        -1.807378183760e+01,        +1.625296661667e+01,        -4.313190097974e-02,        +3.806670805827e-02
 2.40075000e+00,        -9.589707424433e-01,        +8.814512563765e-01,        -5.522769791402e-01,        +4.789422009715e-01,        -2.384082096861e-03,        +1.226694439453e-03,        -1.135585439366e+00,        +9.690960447865e-01,        -2.480697562638e+00,        +2.279065242822e+00,        -7.041887950210e-03,        +4.963453278239e-03,        -1.344562427594e+00,        +1.157173968827e+00,        -6.044465286899e+00,        +5.502227477285e+00,        -1.685636778033e-02,        +1.294874068900e-02,        -8.925284792553e-02,        +7.459081014763e-02,        -1.808778062759e+01,        +1.626592299699e+01,        -4.318618286489e-02,        +3.811619598024e-02
 2.40077500e+00,        -9.592012853596e-01,        +8.816826375557e-01,        -5.531766882601e-01,        +4.797613168992e-01,        -2.386539668001e-03,        +1.228745894861e-03,        -1.135815347076e+00,        +9.693153989592e-01,        -2.483002163239e+00,        +2.281206965927e+00,        -7.045729158886e-03,        +4.966750790606e-03,        -1.344759180854e+00,        +1.157369221504e+00,        -6.049338166464e+00,        +5.506756766209e+00,        -1.686316132630e-02,        +1.295472010610e-02,        -8.838963577227e-02,        +7.382204099998e-02,        -1.810179835794e+01,        +1.627889712477e+01,        -4.324052213062e-02,        +3.816573822046e-02
 2.40080000e+00,        -9.594315983857e-01,        +8.819138239982e-01,        -5.540783247950e-01,        +4.805822222809e-01,        -2.388995763345e-03,        +1.230796520330e-03,        -1.136045025948e+00,        +9.695345676429e-01,        -2.485310551792e+00,        +2.283352225666e+00,        -7.049568093715e-03,        +4.970046868118e-03,        -1.344955717399e+00,        +1.157564298310e+00,        -6.054218212214e+00,        +5.511292763607e+00,        -1.686995183555e-02,        +1.296069759956e-02,        -8.752626669757e-02,        +7.305310341844e-02,        -1.811583506517e+01,        +1.629188903464e+01,        -4.329491890753e-02,        +3.821533490171e-02
 2.40082500e+00,        -9.596616819260e-01,        +8.821448160510e-01,        -5.549818913532e-01,        +4.814049196551e-01,        -2.391450393923e-03,        +1.232846324753e-03,        -1.136274476400e+00,        +9.697535511898e-01,        -2.487622734542e+00,        +2.285501028052e+00,        -7.053404767864e-03,        +4.973341521476e-03,        -1.345152037628e+00,        +1.157759199581e+00,        -6.059105437035e+00,        +5.515835481786e+00,        -1.687673932615e-02,        +1.296667318437e-02,        -8.666274070288e-02,        +7.228399737786e-02,        -1.812989078591e+01,        +1.630489876132e+01,        -4.334937332652e-02,        +3.826498614707e-02
 2.40085000e+00,        -9.598915363840e-01,        +8.823756140605e-01,        -5.558873905526e-01,        +4.822294115696e-01,        -2.393903570748e-03,        +1.234895317019e-03,        -1.136503698849e+00,        +9.699723499512e-01,        -2.489938717755e+00,        +2.287653379111e+00,        -7.057239194479e-03,        +4.976634761368e-03,        -1.345348141940e+00,        +1.157953925655e+00,        -6.063999853844e+00,        +5.520384933091e+00,        -1.688352381615e-02,        +1.297264687550e-02,        -8.579905778946e-02,        +7.151472285294e-02,        -1.814396555686e+01,        +1.631792633961e+01,        -4.340388551878e-02,        +3.831469207990e-02
