        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²),         Re{B_x[7]} (Wb/m²),         Im{B_x[7]} (Wb/m²),         Re{B_y[7]} (Wb/m²),         Im{B_y[7]} (Wb/m²),         Re{B_z[7]} (Wb/m²),         Im{B_z[7]} (Wb/m²),         Re{B_x[8]} (Wb/m²),         Im{B_x[8]} (Wb/m²),         Re{B_y[8]} (Wb/m²),         Im{B_y[8]} (Wb/m²),         Re{B_z[8]} (Wb/m²),         Im{B_z[8]} (Wb/m²)
 2.43462500e+00,        +8.192268607463e-11,        -1.388304196071e-10,        +6.301583985776e-11,        -2.260137863065e-10,        +1.952610083292e-07,        +2.964872179506e-06,        +7.562889387044e-11,        +4.145422522179e-10,        +5.746246468339e-11,        -3.110211184185e-10,        +1.949809595463e-07,        +2.960940475055e-06,        +9.494968624830e-11,        +9.367552665031e-10,        +4.919529077603e-11,        -3.962540265397e-10,        +1.931403897760e-07,        +2.954469822809e-06,        +8.959919993785e-11,        +1.418919513853e-09,        +5.332704561535e-11,        -3.642974065458e-10,        +1.898927055218e-07,        +2.943504855009e-06,        +1.071662345045e-10,        +2.060804671522e-09,        +3.299005156878e-11,        -4.367113685811e-10,        +1.832941614806e-07,        +2.920751524666e-06,        +1.147935959772e-10,        +2.560215770025e-09,        +5.098041937683e-11,        -3.550416131083e-10,        +1.770954122529e-07,        +2.899076506747e-06,        +1.222700838043e-10,        +2.908345293984e-09,        +4.973280638349e-11,        -2.740995048234e-10,        +1.700881489242e-07,        +2.874671959124e-06,        -4.686742690571e-10,        -4.962540834383e-09,        -1.336573676411e-10,        -2.389620504135e-09,        +4.667846250813e-08,        +8.607228329353e-07
 2.43465000e+00,        +8.200245733308e-11,        -1.367545450409e-10,        +6.302700525413e-11,        -2.251734953984e-10,        +1.971888039309e-07,        +2.978903723546e-06,        +7.586579420560e-11,        +4.192581471443e-10,        +5.742071977446e-11,        -3.105400852358e-10,        +1.969055500261e-07,        +2.974947389858e-06,        +9.545668531957e-11,        +9.439557063350e-10,        +4.908883531671e-11,        -3.961867115239e-10,        +1.950532777105e-07,        +2.968442667677e-06,        +9.024602472355e-11,        +1.428415884197e-09,        +5.325669491580e-11,        -3.640674286340e-10,        +1.917855563420e-07,        +2.957421476177e-06,        +1.081172493705e-10,        +2.073325019985e-09,        +3.280357771202e-11,        -4.368386612673e-10,        +1.851467283738e-07,        +2.934554633529e-06,        +1.159528432435e-10,        +2.575081620801e-09,        +5.090978813114e-11,        -3.548003770495e-10,        +1.789103097360e-07,        +2.912773060178e-06,        +1.235858016814e-10,        +2.924780845312e-09,        +4.968713252683e-11,        -2.734916316225e-10,        +1.718605879762e-07,        +2.888249077701e-06,        -4.733625078075e-10,        -4.997147261499e-09,        -1.352400496278e-10,        -2.401982103939e-09,        +4.716814779929e-08,        +8.644263918229e-07
 2.43467500e+00,        +8.208433084422e-11,        -1.346570099995e-10,        +6.303880701708e-11,        -2.243238955807e-10,        +1.991444199871e-07,        +2.993068061460e-06,        +7.610806595476e-11,        +4.240208064841e-10,        +5.737886638776e-11,        -3.100531374070e-10,        +1.988579137500e-07,        +2.989086865853e-06,        +9.597330289665e-11,        +9.512264886008e-10,        +4.898137878144e-11,        -3.961173802624e-10,        +1.969938040424e-07,        +2.982547756388e-06,        +9.090534238850e-11,        +1.438004436617e-09,        +5.318579954354e-11,        -3.638339029709e-10,        +1.937058162130e-07,        +2.971469817818e-06,        +1.090856894933e-10,        +2.085966232923e-09,        +3.261521260715e-11,        -4.369657383866e-10,        +1.870262430591e-07,        +2.948488405784e-06,        +1.171330759263e-10,        +2.590090599470e-09,        +5.083862058295e-11,        -3.545554843548e-10,        +1.807517234802e-07,        +2.926599284454e-06,        +1.249250501246e-10,        +2.941374400438e-09,        +4.964140614463e-11,        -2.728766279298e-10,        +1.736590573699e-07,        +2.901954754713e-06,        -4.781189746261e-10,        -5.032082134211e-09,        -1.368461492989e-10,        -2.414459988687e-09,        +4.766498795632e-08,        +8.681649943686e-07
 2.43470000e+00,        +8.216835895606e-11,        -1.325375056283e-10,        +6.305126381772e-11,        -2.234648540992e-10,        +2.011283918933e-07,        +3.007367077631e-06,        +7.635583401507e-11,        +4.288308973369e-10,        +5.733690902445e-11,        -3.095601902765e-10,        +2.008385851976e-07,        +3.003360784116e-06,        +9.649974896381e-11,        +9.585686156841e-10,        +4.887290886181e-11,        -3.960460033736e-10,        +1.989625009872e-07,        +2.996786965585e-06,        +9.157742646675e-11,        +1.447686485160e-09,        +5.311435531576e-11,        -3.635967785555e-10,        +1.956540135164e-07,        +2.985651749269e-06,        +1.100719285452e-10,        +2.098730032455e-09,        +3.242492930079e-11,        -4.370925955589e-10,        +1.889332262028e-07,        +2.962554696012e-06,        +1.183347415513e-10,        +2.605244745169e-09,        +5.076691278330e-11,        -3.543068824389e-10,        +1.826201669298e-07,        +2.940557020299e-06,        +1.262883284035e-10,        +2.958128210284e-09,        +4.959563378102e-11,        -2.722543915958e-10,        +1.754840624225e-07,        +2.915790815351e-06,        -4.829449853593e-10,        -5.067350114045e-09,        -1.384761218312e-10,        -2.427055808806e-09,        +4.816912157588e-08,        +8.719391380337e-07
 2.43472500e+00,        +8.225459544380e-11,        -1.303957171438e-10,        +6.306439486447e-11,        -2.225962356198e-10,        +2.031412679373e-07,        +3.021802692073e-06,        +7.660922659906e-11,        +4.336890995900e-10,        +5.729485238314e-11,        -3.090611575441e-10,        +2.028481117186e-07,        +3.017771061295e-06,        +9.703623891663e-11,        +9.659831090805e-10,        +4.876341304812e-11,        -3.959725508159e-10,        +2.009599135811e-07,        +3.011162207400e-06,        +9.226255755645e-11,        +1.457463368866e-09,        +5.304235803834e-11,        -3.633560033560e-10,        +1.976306893703e-07,        +2.999969175220e-06,        +1.110763497421e-10,        +2.111618173484e-09,        +3.223270032128e-11,        -4.372192282301e-10,        +1.908682110384e-07,        +2.976755393869e-06,        +1.195582990522e-10,        +2.620546135944e-09,        +5.069466077826e-11,        -3.540545176404e-10,        +1.845161659382e-07,        +2.954648143253e-06,        +1.276761484886e-10,        +2.975044568536e-09,        +4.954982224369e-11,        -2.716248184542e-10,        +1.773361206829e-07,        +2.929759119339e-06,        -4.878418875821e-10,        -5.102955950686e-09,        -1.401304334195e-10,        -2.439771245912e-09,        +4.868069060515e-08,        +8.757493296893e-07
 2.43475000e+00,        +8.234309556924e-11,        -1.282313237680e-10,        +6.307821993366e-11,        -2.217179022561e-10,        +2.051836096925e-07,        +3.036376861276e-06,        +7.686837535547e-11,        +4.385961060827e-10,        +5.725270138364e-11,        -3.085559512728e-10,        +2.048870539253e-07,        +3.032319650451e-06,        +9.758299374900e-11,        +9.734710097664e-10,        +4.865287863826e-11,        -3.958969920137e-10,        +2.029866000716e-07,        +3.025675430290e-06,        +9.296102355665e-11,        +1.467336452366e-09,        +5.296980351521e-11,        -3.631115243561e-10,        +1.996363980183e-07,        +3.014424036548e-06,        +1.120993461659e-10,        +2.124632444432e-09,        +3.203849768006e-11,        -4.373456317131e-10,        +1.928317437515e-07,        +2.991092424920e-06,        +1.208042191408e-10,        +2.635996889394e-09,        +5.062186062083e-11,        -3.537983352859e-10,        +1.864402591482e-07,        +2.968874564500e-06,        +1.290890354481e-10,        +2.992125812675e-09,        +4.950397862813e-11,        -2.709878023765e-10,        +1.792157623060e-07,        +2.943861561749e-06,        -4.928110615591e-10,        -5.138904484070e-09,        -1.418095616178e-10,        -2.452608013630e-09,        +4.919984044438e-08,        +8.795960858402e-07
 2.43477500e+00,        +8.243391611611e-11,        -1.260439985374e-10,        +6.309275937665e-11,        -2.208297134214e-10,        +2.072559923899e-07,        +3.051091579065e-06,        +7.713341545790e-11,        +4.435526229724e-10,        +5.721046116111e-11,        -3.080444817876e-10,        +2.069559860644e-07,        +3.047008541910e-06,        +9.814024020261e-11,        +9.810333786695e-10,        +4.854129272580e-11,        -3.958192957296e-10,        +2.050431322882e-07,        +3.040328619896e-06,        +9.367311986661e-11,        +1.477307126446e-09,        +5.289668754362e-11,        -3.628632874793e-10,        +2.016717071971e-07,        +3.029018311170e-06,        +1.131413210421e-10,        +2.137774667958e-09,        +3.184229285225e-11,        -4.374718012704e-10,        +1.948243838422e-07,        +3.005567751483e-06,        +1.220729846399e-10,        +2.651599163744e-09,        +5.054850836247e-11,        -3.535382796100e-10,        +1.883929983504e-07,        +2.983238231710e-06,        +1.305275278328e-10,        +3.009374325003e-09,        +4.945811031315e-11,        -2.703432351636e-10,        +1.811235304070e-07,        +2.958100073832e-06,        -4.978539211697e-10,        -5.175200646495e-09,        -1.435139956650e-10,        -2.465567858277e-09,        +4.972672004378e-08,        +8.834799328508e-07
 2.43480000e+00,        +8.252711543108e-11,        -1.238334081590e-10,        +6.310803413515e-11,        -2.199315258328e-10,        +2.093590053301e-07,        +3.065948877481e-06,        +7.740448571127e-11,        +4.485593700811e-10,        +5.716813707000e-11,        -3.075266576956e-10,        +2.090554964276e-07,        +3.061839764152e-06,        +9.870821094768e-11,        +9.886712972184e-10,        +4.842864218575e-11,        -3.957394301431e-10,        +2.071300960516e-07,        +3.055123799920e-06,        +9.439914962472e-11,        +1.487376808704e-09,        +5.282300590385e-11,        -3.626112375877e-10,        +2.037371985438e-07,        +3.043754014921e-06,        +1.142026880496e-10,        +2.151046701829e-09,        +3.164405674830e-11,        -4.375977319316e-10,        +1.968467045283e-07,        +3.020183373497e-06,        +1.233650908563e-10,        +2.667355158800e-09,        +5.047460004628e-11,        -3.532742937658e-10,        +1.903749488812e-07,        +2.997741129899e-06,        +1.319921780769e-10,        +3.026792533555e-09,        +4.941222496495e-11,        -2.696910064252e-10,        +1.830599814538e-07,        +2.972476623882e-06,        -5.029719149230e-10,        -5.211849464822e-09,        -1.452442368466e-10,        -2.478652559676e-09,        +5.026148201095e-08,        +8.874014071792e-07
 2.43482500e+00,        +8.262275349427e-11,        -1.215992128704e-10,        +6.312406577483e-11,        -2.190231933852e-10,        +2.114932522945e-07,        +3.080950827725e-06,        +7.768172868797e-11,        +4.536170812137e-10,        +5.712573470990e-11,        -3.070023857780e-10,        +2.111861877630e-07,        +3.076815384745e-06,        +9.928714477727e-11,        +9.963858677769e-10,        +4.831491369194e-11,        -3.956573627243e-10,        +2.092480915830e-07,        +3.070063033065e-06,        +9.513942395277e-11,        +1.497546944292e-09,        +5.274875438211e-11,        -3.623553184427e-10,        +2.058334680023e-07,        +3.058633202486e-06,        +1.152838716485e-10,        +2.164450439970e-09,        +3.144375972508e-11,        -4.377234186021e-10,        +1.988992931459e-07,        +3.034941329455e-06,        +1.246810459778e-10,        +2.683267116966e-09,        +5.040013172796e-11,        -3.530063197497e-10,        +1.923866900193e-07,        +3.012385282349e-06,        +1.334835529437e-10,        +3.044382913602e-09,        +4.936633057112e-11,        -2.690310037522e-10,        +1.850256856586e-07,        +2.986993218138e-06,        -5.081665269608e-10,        -5.248856062777e-09,        -1.470007988261e-10,        -2.491863931958e-09,        +5.080428271802e-08,        +8.913610556255e-07
 2.43485000e+00,        +8.272089194612e-11,        -1.193410662671e-10,        +6.314087648922e-11,        -2.181045671458e-10,        +2.136593519668e-07,        +3.096099541056e-06,        +7.796529081679e-11,        +4.587265044267e-10,        +5.708325991680e-11,        -3.064715710000e-10,        +2.133486776948e-07,        +3.091937511247e-06,        +9.987728677433e-11,        +1.004178214135e-09,        +4.820009368999e-11,        -3.955730603250e-10,        +2.113977339235e-07,        +3.085148421929e-06,        +9.589426218284e-11,        +1.507819006346e-09,        +5.267392875342e-11,        -3.620954727086e-10,        +2.079611262407e-07,        +3.073657968294e-06,        +1.163853074023e-10,        +2.177987812840e-09,        +3.124137155104e-11,        -4.378488561140e-10,        +2.009827515618e-07,        +3.049843697283e-06,        +1.260213714414e-10,        +2.699337324248e-09,        +5.032509945901e-11,        -3.527342984430e-10,        +1.944288153928e-07,        +3.027172751491e-06,        +1.350022339433e-10,        +3.062147988333e-09,        +4.932043542209e-11,        -2.683631124149e-10,        +1.870212273792e-07,        +3.001651901667e-06,        -5.134392781116e-10,        -5.286225663216e-09,        -1.487842080358e-10,        -2.505203824375e-09,        +5.135528241149e-08,        +8.953594355698e-07
 2.43487500e+00,        +8.282159414744e-11,        -1.170586151788e-10,        +6.315848912292e-11,        -2.171754952536e-10,        +2.158579383784e-07,        +3.111397169812e-06,        +7.825532250971e-11,        +4.638884024507e-10,        +5.704071877542e-11,        -3.059341164491e-10,        +2.155435991691e-07,        +3.107208292220e-06,        +1.004788885086e-10,        +1.012049482069e-09,        +4.808416840441e-11,        -3.954864891304e-10,        +2.135796533770e-07,        +3.100382110021e-06,        +9.666399212074e-11,        +1.518194496928e-09,        +5.259852479127e-11,        -3.618316418976e-10,        +2.101207990909e-07,        +3.088830447528e-06,        +1.175074423059e-10,        +2.191660788808e-09,        +3.103686140610e-11,        -4.379740390840e-10,        +2.030976966079e-07,        +3.064892595345e-06,        +1.273866023404e-10,        +2.715568111216e-09,        +5.024949930351e-11,        -3.524581695466e-10,        +1.965019334090e-07,        +3.042105639897e-06,        +1.365488177740e-10,        +3.080090330334e-09,        +4.927454814850e-11,        -2.676872154469e-10,        +1.890472055433e-07,        +3.016454759345e-06,        -5.187917269734e-10,        -5.323963590632e-09,        -1.505950040181e-10,        -2.518674122188e-09,        +5.191464532845e-08,        +8.993971152409e-07
 2.43490000e+00,        +8.292492526798e-11,        -1.147514994272e-10,        +6.317692721972e-11,        -2.162358228234e-10,        +2.180896613778e-07,        +3.126845908355e-06,        +7.855197833286e-11,        +4.691035530212e-10,        +5.699811765216e-11,        -3.053899232647e-10,        +2.177716009212e-07,        +3.122629918179e-06,        +1.010922082819e-10,        +1.020000839880e-09,        +4.796712384723e-11,        -3.953976145749e-10,        +2.157944959770e-07,        +3.115766282704e-06,        +9.744895034217e-11,        +1.528674947517e-09,        +5.252253828224e-11,        -3.615637663207e-10,        +2.123131280128e-07,        +3.104152817067e-06,        +1.186507352045e-10,        +2.205471374926e-09,        +3.083019786767e-11,        -4.380989619903e-10,        +2.052447605400e-07,        +3.080090183382e-06,        +1.287772879029e-10,        +2.731961854382e-09,        +5.017332733972e-11,        -3.521778715115e-10,        +1.986066677077e-07,        +3.057186091212e-06,        +1.381239168537e-10,        +3.098212562677e-09,        +4.922867772903e-11,        -2.670031935943e-10,        +1.911042340959e-07,        +3.031403916779e-06,        -5.242254710732e-10,        -5.362075273481e-09,        -1.524337398794e-10,        -2.532276747467e-09,        +5.248253981873e-08,        +9.034746739681e-07
 2.43492500e+00,        +8.303095228717e-11,        -1.124193517313e-10,        +6.319621500104e-11,        -2.152853919035e-10,        +2.203551870849e-07,        +3.142447994132e-06,        +7.885541706585e-11,        +4.743727492800e-10,        +5.695546316430e-11,        -3.048388906453e-10,        +2.200333479305e-07,        +3.138204622648e-06,        +1.017175112689e-10,        +1.028033478942e-09,        +4.784894578200e-11,        -3.953064014345e-10,        +2.180429239386e-07,        +3.131303168253e-06,        +9.824948240684e-11,        +1.539261919923e-09,        +5.244596499852e-11,        -3.612917851155e-10,        +2.145387705440e-07,        +3.119627296537e-06,        +1.198156570626e-10,        +2.219421617699e-09,        +3.062134887239e-11,        -4.382236191715e-10,        +2.074245914814e-07,        +3.095438663549e-06,        +1.301939918438e-10,        +2.748520976999e-09,        +5.009657963895e-11,        -3.518933415678e-10,        +2.007436575995e-07,        +3.072416291185e-06,        +1.397281597247e-10,        +3.116517360073e-09,        +4.918283347710e-11,        -2.663109251393e-10,        +1.931929424315e-07,        +3.046501541335e-06,        -5.297421479967e-10,        -5.400566246828e-09,        -1.543009826523e-10,        -2.546013660061e-09,        +5.305913846350e-08,        +9.075927024593e-07
 2.43495000e+00,        +8.313974411051e-11,        -1.100617975207e-10,        +6.321637743426e-11,        -2.143240414161e-10,        +2.226551983950e-07,        +3.158205708712e-06,        +7.916580190354e-11,        +4.796968001020e-10,        +5.691276223733e-11,        -3.042809157283e-10,        +2.223295219224e-07,        +3.153934683194e-06,        +1.023550698019e-10,        +1.036148614216e-09,        +4.772961976102e-11,        -3.952128137088e-10,        +2.203256161599e-07,        +3.146995038882e-06,        +9.906594320297e-11,        +1.549957006880e-09,        +5.236880073878e-11,        -3.610156361706e-10,        +2.167984007976e-07,        +3.135256149335e-06,        +1.210026914395e-10,        +2.233513604291e-09,        +3.041028174711e-11,        -4.383480048003e-10,        +2.096378539151e-07,        +3.110940281434e-06,        +1.316372928971e-10,        +2.765247950327e-09,        +5.001925231706e-11,        -3.516045156792e-10,        +2.029135585525e-07,        +3.087798468680e-06,        +1.413621916250e-10,        +3.135007450441e-09,        +4.913702510880e-11,        -2.656102860382e-10,        +1.953139758749e-07,        +3.061749843139e-06,        -5.353434366122e-10,        -5.439442154886e-09,        -1.561973137141e-10,        -2.559886858491e-09,        +5.364461820660e-08,        +9.117518030757e-07
 2.43497500e+00,        +8.325137158184e-11,        -1.076784547034e-10,        +6.323744021714e-11,        -2.133516070236e-10,        +2.249903954936e-07,        +3.174121378884e-06,        +7.948330054714e-11,        +4.850765304988e-10,        +5.687002207126e-11,        -3.037158936053e-10,        +2.246608218832e-07,        +3.169822422526e-06,        +1.030051635417e-10,        +1.044347484930e-09,        +4.760913107555e-11,        -3.951168146884e-10,        +2.226432687342e-07,        +3.162844211844e-06,        +9.989869719032e-11,        +1.560761832854e-09,        +5.229104129338e-11,        -3.607352561251e-10,        +2.190927099717e-07,        +3.151041683729e-06,        +1.222123348155e-10,        +2.247749463467e-09,        +3.019696314236e-11,        -4.384721128372e-10,        +2.118852291868e-07,        +3.126597327150e-06,        +1.331077852367e-10,        +2.782145294961e-09,        +4.994134148272e-11,        -3.513113284988e-10,        +2.051170426895e-07,        +3.103334896762e-06,        +1.430266749652e-10,        +3.153685615715e-09,        +4.909126270054e-11,        -2.649011496152e-10,        +1.974679961717e-07,        +3.077151076149e-06,        -5.410310583568e-10,        -5.478708753789e-09,        -1.581233292638e-10,        -2.573898380918e-09,        +5.423916048891e-08,        +9.159525901231e-07
 2.43500000e+00,        +8.336590758244e-11,        -1.052689335087e-10,        +6.325942983244e-11,        -2.123679210980e-10,        +2.273614963514e-07,        +3.190197377770e-06,        +7.980808537704e-11,        +4.905127820945e-10,        +5.682725018433e-11,        -3.031437172162e-10,        +2.270279645533e-07,        +3.185870209605e-06,        +1.036680797401e-10,        +1.052631355082e-09,        +4.748746478768e-11,        -3.950183668550e-10,        +2.249965954417e-07,        +3.178853050538e-06,        +1.007481187354e-10,        +1.571678054907e-09,        +5.221268247191e-11,        -3.604505802914e-10,        +2.214224068379e-07,        +3.166986253951e-06,        +1.234450970339e-10,        +2.262131366536e-09,        +2.998135905129e-11,        -4.385959371546e-10,        +2.141674159879e-07,        +3.142412136420e-06,        +1.346060789705e-10,        +2.799215581860e-09,        +4.986284327845e-11,        -3.510137133587e-10,        +2.073547992653e-07,        +3.119027893772e-06,        +1.447222898887e-10,        +3.172554693790e-09,        +4.904555673150e-11,        -2.641833867328e-10,        +1.996556819590e-07,        +3.092707539230e-06,        -5.468067784391e-10,        -5.518371914272e-09,        -1.600796407190e-10,        -2.588050306104e-09,        +5.484295137708e-08,        +9.201956901444e-07
 2.43502500e+00,        +8.348342707312e-11,        -1.028328363117e-10,        +6.328237355279e-11,        -2.113728126080e-10,        +2.297692373122e-07,        +3.206436125974e-06,        +8.014033359138e-11,        +4.960064134219e-10,        +5.678445440368e-11,        -3.025642773464e-10,        +2.294316850149e-07,        +3.202080460789e-06,        +1.043441134674e-10,        +1.061001514164e-09,        +4.736460569935e-11,        -3.949174319050e-10,        +2.273863283356e-07,        +3.195023965647e-06,        +1.016145924113e-10,        +1.582707363411e-09,        +5.213372008933e-11,        -3.601615426695e-10,        +2.237882183240e-07,        +3.183092261345e-06,        +1.247015017104e-10,        +2.276661528525e-09,        +2.976343476653e-11,        -4.387194713252e-10,        +2.164851309303e-07,        +3.158387091713e-06,        +1.361328006608e-10,        +2.816461433714e-09,        +4.978375385835e-11,        -3.507116021925e-10,        +2.096275352353e-07,        +3.134879824454e-06,        +1.464497348255e-10,        +3.191617579492e-09,        +4.899991809390e-11,        -2.634568655840e-10,        +2.018777293271e-07,        +3.108421577267e-06,        -5.526724073045e-10,        -5.558437624556e-09,        -1.620668752417e-10,        -2.602344754439e-09,        +5.545618171727e-08,        +9.244817422237e-07
 2.43505000e+00,        +8.360400719233e-11,        -1.003697574104e-10,        +6.330629948878e-11,        -2.103661070463e-10,        +2.322143736250e-07,        +3.222840092769e-06,        +8.048022738390e-11,        +5.015583004281e-10,        +5.674164289656e-11,        -3.019774625149e-10,        +2.318727372228e-07,        +3.218455641021e-06,        +1.050335678876e-10,        +1.069459277698e-09,        +4.724053836649e-11,        -3.948139707265e-10,        +2.298132182699e-07,        +3.211359416333e-06,        +1.024985133469e-10,        +1.593851482950e-09,        +5.205414998312e-11,        -3.598680758656e-10,        +2.261908900389e-07,        +3.199362155543e-06,        +1.259820866986e-10,        +2.291342209231e-09,        +2.954315488496e-11,        -4.388427088543e-10,        +2.188391090661e-07,        +3.174524623416e-06,        +1.376885938494e-10,        +2.833885526171e-09,        +4.970406940908e-11,        -3.504049255068e-10,        +2.119359757685e-07,        +3.150893101124e-06,        +1.482097270948e-10,        +3.210877226072e-09,        +4.895435810413e-11,        -2.627214516496e-10,        +2.041348523255e-07,        +3.124295582321e-06,        -5.586298019320e-10,        -5.598911993294e-09,        -1.640856761945e-10,        -2.616783888959e-09,        +5.607904727345e-08,        +9.288113983009e-07
 2.43507500e+00,        +8.372772730411e-11,        -9.787928283560e-11,        +6.333123660385e-11,        -2.093476263476e-10,        +2.346976800421e-07,        +3.239411797325e-06,        +8.082795408502e-11,        +5.071693368972e-10,        +5.669882417273e-11,        -3.013831589630e-10,        +2.343518946015e-07,        +3.234998265054e-06,        +1.057367544918e-10,        +1.078005987995e-09,        +4.711524709236e-11,        -3.947079433902e-10,        +2.322780354956e-07,        +3.227861911448e-06,        +1.034002875482e-10,        +1.605112173163e-09,        +5.197396801549e-11,        -3.595701111480e-10,        +2.286311868647e-07,        +3.215798435682e-06,        +1.272874045102e-10,        +2.306175714303e-09,        +2.932048328633e-11,        -4.389656429976e-10,        +2.212301044719e-07,        +3.190827211039e-06,        +1.392741195866e-10,        +2.851490589288e-09,        +4.962378615553e-11,        -3.500936124446e-10,        +2.142808648259e-07,        +3.167070184859e-06,        +1.500030034837e-10,        +3.230336646907e-09,        +4.890888854251e-11,        -2.619770076892e-10,        +2.064277835336e-07,        +3.140331994819e-06,        -5.646808673138e-10,        -5.639801252595e-09,        -1.661367036249e-10,        -2.631369916462e-09,        +5.671174888382e-08,        +9.331853234950e-07
 2.43510000e+00,        +8.385466906745e-11,        -9.536099015196e-11,        +6.335721473660e-11,        -2.083171887945e-10,        +2.372199514189e-07,        +3.256153809959e-06,        +8.118370632739e-11,        +5.128404348865e-10,        +5.665600709152e-11,        -3.007812505993e-10,        +2.368699506439e-07,        +3.251710898696e-06,        +1.064539933681e-10,        +1.086643014718e-09,        +4.698871590421e-11,        -3.945993091027e-10,        +2.347815702566e-07,        +3.244534010783e-06,        +1.043203322403e-10,        +1.616491229628e-09,        +5.189317005800e-11,        -3.592675782864e-10,        +2.311098935497e-07,        +3.232403651643e-06,        +1.286180227995e-10,        +2.321164396512e-09,        +2.909538310117e-11,        -4.390882668109e-10,        +2.236588908341e-07,        +3.207297384445e-06,        +1.408900569848e-10,        +2.869279408779e-09,        +4.954290034251e-11,        -3.497775905931e-10,        +2.166629657386e-07,        +3.183413586723e-06,        +1.518303208694e-10,        +3.249998916721e-09,        +4.886352163008e-11,        -2.612233936243e-10,        +2.087572746322e-07,        +3.156533304758e-06,        -5.708275579351e-10,        -5.681111761112e-09,        -1.682206348186e-10,        -2.646105088574e-09,        +5.735449261698e-08,        +9.376041964346e-07
 2.43512500e+00,        +8.398491654096e-11,        -9.281444818795e-11,        +6.338426465155e-11,        -2.072746088802e-10,        +2.397820033501e-07,        +3.273068753438e-06,        +8.154768224843e-11,        +5.185725252528e-10,        +5.661320089196e-11,        -3.001716188694e-10,        +2.394277195467e-07,        +3.268596160116e-06,        +1.071856135040e-10,        +1.095371755709e-09,        +4.686092856844e-11,        -3.944880261593e-10,        +2.373246334228e-07,        +3.261378326371e-06,        +1.052590762642e-10,        +1.627990484756e-09,        +5.181175201910e-11,        -3.589604056072e-10,        +2.336278153371e-07,        +3.249180405351e-06,        +1.299745248701e-10,        +2.336310656915e-09,        +2.886781670229e-11,        -4.392105731529e-10,        +2.261262620715e-07,        +3.223937725139e-06,        +1.425371038361e-10,        +2.887254827530e-09,        +4.946140826109e-11,        -3.494567860439e-10,        +2.190830618235e-07,        +3.199925869046e-06,        +1.536924568904e-10,        +3.269867173305e-09,        +4.881827007816e-11,        -2.604604663462e-10,        +2.111240970098e-07,        +3.172902052983e-06,        -5.770718793354e-10,        -5.722850007279e-09,        -1.703381648277e-10,        -2.660991702880e-09,        +5.800748993785e-08,        +9.420687096032e-07
 2.43515000e+00,        +8.411855624774e-11,        -9.023921686648e-11,        +6.341241805953e-11,        -2.062196972946e-10,        +2.423846728122e-07,        +3.290159304301e-06,        +8.192008565333e-11,        +5.243665580370e-10,        +5.657041519800e-11,        -2.995541427877e-10,        +2.420260368515e-07,        +3.285656721157e-06,        +1.079319530669e-10,        +1.104193637593e-09,        +4.673186858099e-11,        -3.943740519846e-10,        +2.399080571295e-07,        +3.278397523793e-06,        +1.062169604404e-10,        +1.639611808822e-09,        +5.172970983799e-11,        -3.586485199030e-10,        +2.361857786012e-07,        +3.266131352075e-06,        +1.313575101697e-10,        +2.351616945972e-09,        +2.863774569015e-11,        -4.393325546780e-10,        +2.286330329624e-07,        +3.240750867562e-06,        +1.442159772013e-10,        +2.905419746981e-09,        +4.937930624557e-11,        -3.491311233346e-10,        +2.215419570033e-07,        +3.216609646710e-06,        +1.555902106059e-10,        +3.289944619200e-09,        +4.877314710272e-11,        -2.596880799544e-10,        +2.135290423757e-07,        +3.189440832456e-06,        -5.834158896979e-10,        -5.765022612544e-09,        -1.724900070295e-10,        -2.676032104118e-09,        +5.867095787550e-08,        +9.465795696871e-07
