        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43559000e+00,        +4.453058407011e-04,        +1.318699281546e-03,        -9.961410762562e-05
 2.43559500e+00,        +4.461596942334e-04,        +1.318783329516e-03,        -9.962330363431e-05
 2.43560000e+00,        +4.470174993525e-04,        +1.318867622509e-03,        -9.963252779302e-05
 2.43560500e+00,        +4.478792807405e-04,        +1.318952161514e-03,        -9.964178024741e-05
 2.43561000e+00,        +4.487450632727e-04,        +1.319036947618e-03,        -9.965106114346e-05
 2.43561500e+00,        +4.496148720200e-04,        +1.319121982486e-03,        -9.966037062314e-05
 2.43562000e+00,        +4.504887322507e-04,        +1.319207266854e-03,        -9.966970883890e-05
 2.43562500e+00,        +4.513666694321e-04,        +1.319292801909e-03,        -9.967907594130e-05
 2.43563000e+00,        +4.522487092328e-04,        +1.319378588601e-03,        -9.968847206947e-05
 2.43563500e+00,        +4.531348775241e-04,        +1.319464628781e-03,        -9.969789738783e-05
 2.43564000e+00,        +4.540252003827e-04,        +1.319550922815e-03,        -9.970735204110e-05
 2.43564500e+00,        +4.549197040916e-04,        +1.319637472885e-03,        -9.971683618443e-05
 2.43565000e+00,        +4.558184151432e-04,        +1.319724279522e-03,        -9.972634996306e-05
 2.43565500e+00,        +4.567213602403e-04,        +1.319811344071e-03,        -9.973589354456e-05
 2.43566000e+00,        +4.576285662987e-04,        +1.319898667582e-03,        -9.974546707642e-05
 2.43566500e+00,        +4.585400604494e-04,        +1.319986252033e-03,        -9.975507072194e-05
 2.43567000e+00,        +4.594558700399e-04,        +1.320074097630e-03,        -9.976470463079e-05
 2.43567500e+00,        +4.603760226372e-04,        +1.320162206067e-03,        -9.977436897209e-05
 2.43568000e+00,        +4.613005460292e-04,        +1.320250578923e-03,        -9.978406390039e-05
 2.43568500e+00,        +4.622294682272e-04,        +1.320339217024e-03,        -9.979378957266e-05
 2.43569000e+00,        +4.631628174682e-04,        +1.320428121972e-03,        -9.980354615837e-05
 2.43569500e+00,        +4.641006222163e-04,        +1.320517294879e-03,        -9.981333382471e-05
 2.43570000e+00,        +4.650429111660e-04,        +1.320606737038e-03,        -9.982315272599e-05
 2.43570500e+00,        +4.659897132438e-04,        +1.320696449694e-03,        -9.983300303854e-05
 2.43571000e+00,        +4.669410576102e-04,        +1.320786434155e-03,        -9.984288492574e-05
 2.43571500e+00,        +4.678969736629e-04,        +1.320876691752e-03,        -9.985279855158e-05
 2.43572000e+00,        +4.688574910382e-04,        +1.320967224244e-03,        -9.986274408627e-05
 2.43572500e+00,        +4.698226396139e-04,        +1.321058032193e-03,        -9.987272170581e-05
 2.43573000e+00,        +4.707924495112e-04,        +1.321149117519e-03,        -9.988273158527e-05
 2.43573500e+00,        +4.717669510975e-04,        +1.321240481419e-03,        -9.989277388829e-05
