        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43510000e+00,        -1.194910515934e+00,        +1.132780377272e+00,        -1.773762828043e+01,        +1.707451097211e+01,        -1.500334772727e-02,        +1.439323421022e-02,        -1.305672147665e+00,        +1.237523734094e+00,        -3.925786398083e+01,        +3.776621363958e+01,        -2.236643247929e-02,        +2.139844203399e-02,        -1.488533509000e+00,        +1.410797182934e+00,        -7.880561498861e+01,        +7.579129480273e+01,        -4.262000452263e-02,        +4.072793679277e-02,        +1.335775653322e+00,        -1.271244805806e+00,        -2.182211499474e+02,        +2.098511541626e+02,        -4.599246578174e-01,        +4.422176977103e-01
 2.43510500e+00,        -1.194937255964e+00,        +1.132864661382e+00,        -1.776335582866e+01,        +1.710050163107e+01,        -1.501978902641e-02,        +1.441003862858e-02,        -1.305686206461e+00,        +1.237601150144e+00,        -3.931244600273e+01,        +3.782143290283e+01,        -2.238538560635e-02,        +2.141805722734e-02,        -1.488563434538e+00,        +1.410899266150e+00,        -7.891321340342e+01,        +7.590021827523e+01,        -4.265184105343e-02,        +4.076111974866e-02,        +1.336071680338e+00,        -1.271593363473e+00,        -2.185165794765e+02,        +2.101503153258e+02,        -4.605403515268e-01,        +4.428413629819e-01
 2.43511000e+00,        -1.194964004030e+00,        +1.132949109555e+00,        -1.778915181840e+01,        +1.712656498901e+01,        -1.503627389785e-02,        +1.442688985791e-02,        -1.305700244387e+00,        +1.237678714530e+00,        -3.936717312564e+01,        +3.787680650926e+01,        -2.240438854546e-02,        +2.143772661513e-02,        -1.488593396750e+00,        +1.411001579780e+00,        -7.902109777150e+01,        +7.600944610299e+01,        -4.268376083764e-02,        +4.079439394230e-02,        +1.336367881658e+00,        -1.271942294670e+00,        -2.188127940374e+02,        +2.104503122951e+02,        -4.611576782538e-01,        +4.434667677054e-01
 2.43511500e+00,        -1.194990760154e+00,        +1.133033722468e+00,        -1.781501652239e+01,        +1.715270135060e+01,        -1.505280251525e-02,        +1.444378809440e-02,        -1.305714261346e+00,        +1.237756427863e+00,        -3.942204592778e+01,        +3.793233510568e+01,        -2.242344149509e-02,        +2.145745042440e-02,        -1.488623395768e+00,        +1.411104124775e+00,        -7.912926923237e+01,        +7.611897956145e+01,        -4.271576420686e-02,        +4.082775975583e-02,        +1.336664257912e+00,        -1.272291600894e+00,        -2.191097967584e+02,        +2.107511485732e+02,        -4.617766445061e-01,        +4.440939191701e-01
 2.43512000e+00,        -1.195017524358e+00,        +1.133118500802e+00,        -1.784095021483e+01,        +1.717891102221e+01,        -1.506937505318e-02,        +1.446073353533e-02,        -1.305728257244e+00,        +1.237834290756e+00,        -3.947706499047e+01,        +3.798801934252e+01,        -2.244254465475e-02,        +2.147722888351e-02,        -1.488653431727e+00,        +1.411206902094e+00,        -7.923772893164e+01,        +7.622881993318e+01,        -4.274785149445e-02,        +4.086121757358e-02,        +1.336960809736e+00,        -1.272641283652e+00,        -2.194075907845e+02,        +2.110528276821e+02,        -4.623972568260e-01,        +4.447228247062e-01
 2.43512500e+00,        -1.195044296663e+00,        +1.133203445241e+00,        -1.786695317139e+01,        +1.720519431192e+01,        -1.508599168714e-02,        +1.447772637907e-02,        -1.305742231985e+00,        +1.237912303825e+00,        -3.953223089811e+01,        +3.804385987382e+01,        -2.246169822500e-02,        +2.149706222206e-02,        -1.488683504758e+00,        +1.411309912698e+00,        -7.934647802097e+01,        +7.633896850792e+01,        -4.278002303552e-02,        +4.089476778198e-02,        +1.337257537767e+00,        -1.272991344460e+00,        -2.197061792775e+02,        +2.113553531637e+02,        -4.630195217904e-01,        +4.453534916848e-01
 2.43513000e+00,        -1.195071077093e+00,        +1.133288556473e+00,        -1.789302566919e+01,        +1.723155152954e+01,        -1.510265259357e-02,        +1.449476682513e-02,        -1.305756185471e+00,        +1.237990467689e+00,        -3.958754423822e+01,        +3.809985735731e+01,        -2.248090240748e-02,        +2.151695067092e-02,        -1.488713614998e+00,        +1.411413157556e+00,        -7.945551765820e+01,        +7.644942658266e+01,        -4.281227916700e-02,        +4.092841076965e-02,        +1.337554442645e+00,        -1.273341784839e+00,        -2.200055654160e+02,        +2.116587285797e+02,        -4.636434460114e-01,        +4.459859275184e-01
 2.43513500e+00,        -1.195097865668e+00,        +1.133373835190e+00,        -1.791916798684e+01,        +1.725798298662e+01,        -1.511935794986e-02,        +1.451185507412e-02,        -1.305770117606e+00,        +1.238068782973e+00,        -3.964300560145e+01,        +3.815601245441e+01,        -2.250015740490e-02,        +2.153689446229e-02,        -1.488743762581e+00,        +1.411516637640e+00,        -7.956484900732e+01,        +7.656019546167e+01,        -4.284462022758e-02,        +4.096214692739e-02,        +1.337851525016e+00,        -1.273692606323e+00,        -2.203057523955e+02,        +2.119629575118e+02,        -4.642690361365e-01,        +4.466201396610e-01
 2.43514000e+00,        -1.195124662410e+00,        +1.133459282089e+00,        -1.794538040443e+01,        +1.728448899646e+01,        -1.513610793433e-02,        +1.452899132778e-02,        -1.305784028292e+00,        +1.238147250303e+00,        -3.969861558159e+01,        +3.821232583026e+01,        -2.251946342107e-02,        +2.155689382966e-02,        -1.488773947642e+00,        +1.411620353929e+00,        -7.967447323852e+01,        +7.667127645653e+01,        -4.287704655778e-02,        +4.099597664818e-02,        +1.338148785526e+00,        -1.274043810449e+00,        -2.206067434285e+02,        +2.122680435619e+02,        -4.648962988482e-01,        +4.472561356088e-01
 2.43514500e+00,        -1.195151467343e+00,        +1.133544897869e+00,        -1.797166320355e+01,        +1.731106987412e+01,        -1.515290272625e-02,        +1.454617578898e-02,        -1.305797917429e+00,        +1.238225870307e+00,        -3.975437477565e+01,        +3.826879815372e+01,        -2.253882066085e-02,        +2.157694900785e-02,        -1.488804170318e+00,        +1.411724307408e+00,        -7.978439152830e+01,        +7.678267088620e+01,        -4.290955849994e-02,        +4.102990032722e-02,        +1.338446224827e+00,        -1.274395398768e+00,        -2.209085417449e+02,        +2.125739903520e+02,        -4.655252408654e-01,        +4.478939228997e-01
