        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40050000e+00,        +3.017295055904e+00,        +1.485572144883e+00,        +2.509744888362e+00,        -2.857369052528e+00,        +5.872369068460e-02,        +3.148957188676e-02,        +1.447596552971e+00,        +1.451577527874e+00,        +9.990013388223e+00,        -4.045248222479e+00,        -2.711391527779e-02,        +6.395455744762e-02,        +2.204432258433e+00,        +1.986627972936e+00,        +2.202315008399e+01,        -5.715165796575e+00,        -4.292410798311e-02,        +1.101988501969e-01,        -2.170435300169e+00,        -4.467172873167e-02,        +5.715084954733e+01,        -5.957933907744e+00,        +5.188667319695e-03,        +3.007487903697e-02
 2.40052500e+00,        +3.019242200955e+00,        +1.486321976377e+00,        +2.510132483867e+00,        -2.859728712510e+00,        +5.877851723877e-02,        +3.149295006721e-02,        +1.448203290038e+00,        +1.452238269095e+00,        +9.995460130602e+00,        -4.048771404841e+00,        -2.711536935979e-02,        +6.398321710607e-02,        +2.204969829405e+00,        +1.987263399863e+00,        +2.203624826326e+01,        -5.720412982023e+00,        -4.292720158039e-02,        +1.102525926479e-01,        -2.173846803801e+00,        -4.473585003260e-02,        +5.719059286842e+01,        -5.966171245868e+00,        +5.124178179845e-03,        +3.011986293570e-02
 2.40055000e+00,        +3.021187499425e+00,        +1.487070344992e+00,        +2.510526577546e+00,        -2.862087964491e+00,        +5.883328709240e-02,        +3.149630792556e-02,        +1.448809555756e+00,        +1.452898060404e+00,        +1.000091663951e+01,        -4.052296654977e+00,        -2.711681225643e-02,        +6.401185384531e-02,        +2.205506885857e+00,        +1.987897837816e+00,        +2.204936449632e+01,        -5.725665051058e+00,        -4.293026876046e-02,        +1.103062919932e-01,        -2.177258500860e+00,        -4.480005139740e-02,        +5.723038661257e+01,        -5.974422363302e+00,        +5.059630007960e-03,        +3.016484569762e-02
 2.40057500e+00,        +3.023130953076e+00,        +1.487817253557e+00,        +2.510927173663e+00,        -2.864446816727e+00,        +5.888800031404e-02,        +3.149964551308e-02,        +1.449415350278e+00,        +1.453556903277e+00,        +1.000638292864e+01,        -4.055823984401e+00,        -2.711824399236e-02,        +6.404046769143e-02,        +2.206043427882e+00,        +1.988531288335e+00,        +2.206249881293e+01,        -5.730922021870e+00,        -4.293330957002e-02,        +1.103599482805e-01,        -2.180670390867e+00,        -4.486433284191e-02,        +5.727023086669e+01,        -5.982687297837e+00,        +4.995022618018e-03,        +3.020982741296e-02
 2.40060000e+00,        +3.025072563666e+00,        +1.488562704892e+00,        +2.511334276502e+00,        -2.866805277471e+00,        +5.894265697214e-02,        +3.150296288092e-02,        +1.450020673758e+00,        +1.454214799185e+00,        +1.001185901171e+01,        -4.059353404642e+00,        -2.711966459216e-02,        +6.406905867045e-02,        +2.206579455574e+00,        +1.989163752956e+00,        +2.207565124295e+01,        -5.736183912690e+00,        -4.293632405559e-02,        +1.104135615572e-01,        -2.184082473342e+00,        -4.492869438288e-02,        +5.731012571789e+01,        -5.990966087370e+00,        +4.930355823769e-03,        +3.025480817206e-02
 2.40062500e+00,        +3.027012332951e+00,        +1.489306701812e+00,        +2.511747890363e+00,        -2.869163354982e+00,        +5.899725713502e-02,        +3.150626008008e-02,        +1.450625526348e+00,        +1.454871749595e+00,        +1.001734490250e+01,        -4.062884927249e+00,        -2.712107408034e-02,        +6.409762680835e-02,        +2.207114969026e+00,        +1.989795233212e+00,        +2.208882181630e+01,        -5.741450741786e+00,        -4.293931226360e-02,        +1.104671318708e-01,        -2.187494747803e+00,        -4.499313603799e-02,        +5.735007125352e+01,        -5.999258769905e+00,        +4.865629438709e-03,        +3.029978806544e-02
 2.40065000e+00,        +3.028950262685e+00,        +1.490049247125e+00,        +2.512168019570e+00,        -2.871521057517e+00,        +5.905180087086e-02,        +3.150953716140e-02,        +1.451229908203e+00,        +1.455527755974e+00,        +1.002284061480e+01,        -4.066418563790e+00,        -2.712247248133e-02,        +6.412617213106e-02,        +2.207649968332e+00,        +1.990425730632e+00,        +2.210201056296e+01,        -5.746722527469e+00,        -4.294227424031e-02,        +1.105206592686e-01,        -2.190907213769e+00,        -4.505765782573e-02,        +5.739006756110e+01,        -6.007565383552e+00,        +4.800843276092e-03,        +3.034476718375e-02
 2.40067500e+00,        +3.030886354618e+00,        +1.490790343634e+00,        +2.512594668463e+00,        -2.873878393339e+00,        +5.910628824776e-02,        +3.151279417560e-02,        +1.451833819474e+00,        +1.456182819781e+00,        +1.002834616244e+01,        -4.069954325848e+00,        -2.712385981951e-02,        +6.415469466446e-02,        +2.208184453584e+00,        +1.991055246743e+00,        +2.211521751300e+01,        -5.751999288085e+00,        -4.294521003186e-02,        +1.105741437976e-01,        -2.194319870756e+00,        -4.512225976559e-02,        +5.743011472840e+01,        -6.015885966529e+00,        +4.735997148932e-03,        +3.038974561780e-02
 2.40070000e+00,        +3.032820610497e+00,        +1.491529994131e+00,        +2.513027841405e+00,        -2.876235370709e+00,        +5.916071933365e-02,        +3.151603117326e-02,        +1.452437260316e+00,        +1.456836942476e+00,        +1.003386155929e+01,        -4.073492225028e+00,        -2.712523611920e-02,        +6.418319443438e-02,        +2.208718424876e+00,        +1.991683783067e+00,        +2.212844269653e+01,        -5.757281042022e+00,        -4.294811968424e-02,        +1.106275855052e-01,        -2.197732718279e+00,        -4.518694187788e-02,        +5.747021284338e+01,        -6.024220557162e+00,        +4.671090869992e-03,        +3.043472345854e-02
 2.40072500e+00,        +3.034753032067e+00,        +1.492268201407e+00,        +2.513467542777e+00,        -2.878591997893e+00,        +5.921509419638e-02,        +3.151924820479e-02,        +1.453040230881e+00,        +1.457490125514e+00,        +1.003938681926e+01,        -4.077032272950e+00,        -2.712660140464e-02,        +6.421167146659e-02,        +2.209251882302e+00,        +1.992311341123e+00,        +2.214168614378e+01,        -5.762567807710e+00,        -4.295100324332e-02,        +1.106809844382e-01,        -2.201145755853e+00,        -4.525170418384e-02,        +5.751036199421e+01,        -6.032569193885e+00,        +4.606124251790e-03,        +3.047970079709e-02
