        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43585500e+00,        +4.966460526457e-04,        +1.323493584285e-03,        -1.001440242999e-04
 2.43586000e+00,        +4.977484880026e-04,        +1.323592390914e-03,        -1.001549374169e-04
 2.43586500e+00,        +4.988564995006e-04,        +1.323691514847e-03,        -1.001658879365e-04
 2.43587000e+00,        +4.999701251643e-04,        +1.323790957328e-03,        -1.001768760678e-04
 2.43587500e+00,        +5.010894033441e-04,        +1.323890719328e-03,        -1.001879020215e-04
 2.43588000e+00,        +5.022143727192e-04,        +1.323990804164e-03,        -1.001989660084e-04
 2.43588500e+00,        +5.033450723011e-04,        +1.324091211706e-03,        -1.002100682493e-04
 2.43589000e+00,        +5.044815414377e-04,        +1.324191944637e-03,        -1.002212089578e-04
 2.43589500e+00,        +5.056238198154e-04,        +1.324293004523e-03,        -1.002323883525e-04
 2.43590000e+00,        +5.067719474642e-04,        +1.324394392521e-03,        -1.002436066587e-04
 2.43590500e+00,        +5.079259647597e-04,        +1.324496110668e-03,        -1.002548640907e-04
 2.43591000e+00,        +5.090859124282e-04,        +1.324598161178e-03,        -1.002661608828e-04
 2.43591500e+00,        +5.102518315493e-04,        +1.324700544999e-03,        -1.002774972504e-04
 2.43592000e+00,        +5.114237635600e-04,        +1.324803263972e-03,        -1.002888734272e-04
 2.43592500e+00,        +5.126017502585e-04,        +1.324906320487e-03,        -1.003002896375e-04
 2.43593000e+00,        +5.137858338077e-04,        +1.325009715358e-03,        -1.003117461124e-04
 2.43593500e+00,        +5.149760567394e-04,        +1.325113450930e-03,        -1.003232430917e-04
 2.43594000e+00,        +5.161724619576e-04,        +1.325217529202e-03,        -1.003347808007e-04
 2.43594500e+00,        +5.173750927435e-04,        +1.325321951096e-03,        -1.003463594764e-04
 2.43595000e+00,        +5.185839927582e-04,        +1.325426719293e-03,        -1.003579793590e-04
 2.43595500e+00,        +5.197992060476e-04,        +1.325531834946e-03,        -1.003696406922e-04
 2.43596000e+00,        +5.210207770462e-04,        +1.325637300425e-03,        -1.003813437111e-04
 2.43596500e+00,        +5.222487505809e-04,        +1.325743117222e-03,        -1.003930886605e-04
 2.43597000e+00,        +5.234831718761e-04,        +1.325849287653e-03,        -1.004048757874e-04
 2.43597500e+00,        +5.247240865566e-04,        +1.325955813029e-03,        -1.004167053360e-04
 2.43598000e+00,        +5.259715406535e-04,        +1.326062695304e-03,        -1.004285775553e-04
 2.43598500e+00,        +5.272255806067e-04,        +1.326169936453e-03,        -1.004404926993e-04
 2.43599000e+00,        +5.284862532710e-04,        +1.326277538663e-03,        -1.004524510214e-04
 2.43599500e+00,        +5.297536059195e-04,        +1.326385503220e-03,        -1.004644527742e-04
 2.43600000e+00,        +5.310276862484e-04,        +1.326493832894e-03,        -1.004764982094e-04
 2.43600500e+00,        +5.323085423814e-04,        +1.326602529122e-03,        -1.004885875997e-04
 2.43601000e+00,        +5.335962228747e-04,        +1.326711593848e-03,        -1.005007211939e-04
 2.43601500e+00,        +5.348907767213e-04,        +1.326821029370e-03,        -1.005128992572e-04
 2.43602000e+00,        +5.361922533559e-04,        +1.326930837167e-03,        -1.005251220572e-04
 2.43602500e+00,        +5.375007026596e-04,        +1.327041019661e-03,        -1.005373898621e-04
 2.43603000e+00,        +5.388161749652e-04,        +1.327151578971e-03,        -1.005497029386e-04
 2.43603500e+00,        +5.401387210610e-04,        +1.327262516300e-03,        -1.005620615608e-04
 2.43604000e+00,        +5.414683921971e-04,        +1.327373834740e-03,        -1.005744659974e-04
 2.43604500e+00,        +5.428052400897e-04,        +1.327485535905e-03,        -1.005869165264e-04
 2.43605000e+00,        +5.441493169262e-04,        +1.327597621682e-03,        -1.005994134297e-04
 2.43605500e+00,        +5.455006753707e-04,        +1.327710094466e-03,        -1.006119569807e-04
 2.43606000e+00,        +5.468593685689e-04,        +1.327822956038e-03,        -1.006245474674e-04
 2.43606500e+00,        +5.482254501540e-04,        +1.327936208920e-03,        -1.006371851696e-04
 2.43607000e+00,        +5.495989742507e-04,        +1.328049854996e-03,        -1.006498703807e-04
 2.43607500e+00,        +5.509799954829e-04,        +1.328163896455e-03,        -1.006626033838e-04
 2.43608000e+00,        +5.523685689764e-04,        +1.328278335693e-03,        -1.006753844700e-04
 2.43608500e+00,        +5.537647503672e-04,        +1.328393174508e-03,        -1.006882139399e-04
 2.43609000e+00,        +5.551685958055e-04,        +1.328508415399e-03,        -1.007010920843e-04
 2.43609500e+00,        +5.565801619617e-04,        +1.328624060580e-03,        -1.007140192059e-04
 2.43610000e+00,        +5.579995060325e-04,        +1.328740111894e-03,        -1.007269956020e-04
 2.43610500e+00,        +5.594266857466e-04,        +1.328856572032e-03,        -1.007400215762e-04
 2.43611000e+00,        +5.608617593708e-04,        +1.328973442958e-03,        -1.007530974380e-04
 2.43611500e+00,        +5.623047857159e-04,        +1.329090727515e-03,        -1.007662234950e-04
 2.43612000e+00,        +5.637558241426e-04,        +1.329208427141e-03,        -1.007794000522e-04
 2.43612500e+00,        +5.652149345686e-04,        +1.329326544621e-03,        -1.007926274311e-04
 2.43613000e+00,        +5.666821774732e-04,        +1.329445082692e-03,        -1.008059059487e-04
 2.43613500e+00,        +5.681576139060e-04,        +1.329564042979e-03,        -1.008192359116e-04
 2.43614000e+00,        +5.696413054905e-04,        +1.329683428002e-03,        -1.008326176630e-04
 2.43614500e+00,        +5.711333144337e-04,        +1.329803240524e-03,        -1.008460515031e-04
 2.43615000e+00,        +5.726337035297e-04,        +1.329923483236e-03,        -1.008595377714e-04
 2.43615500e+00,        +5.741425361690e-04,        +1.330044157339e-03,        -1.008730768029e-04
 2.43616000e+00,        +5.756598763436e-04,        +1.330165265966e-03,        -1.008866689158e-04
 2.43616500e+00,        +5.771857886544e-04,        +1.330286812230e-03,        -1.009003144529e-04
 2.43617000e+00,        +5.787203383186e-04,        +1.330408797622e-03,        -1.009140137523e-04
 2.43617500e+00,        +5.802635911762e-04,        +1.330531224746e-03,        -1.009277671557e-04
 2.43618000e+00,        +5.818156136971e-04,        +1.330654096809e-03,        -1.009415750036e-04
 2.43618500e+00,        +5.833764729889e-04,        +1.330777415622e-03,        -1.009554376391e-04
 2.43619000e+00,        +5.849462368036e-04,        +1.330901184247e-03,        -1.009693554210e-04
 2.43619500e+00,        +5.865249735463e-04,        +1.331025405220e-03,        -1.009833286922e-04
 2.43620000e+00,        +5.881127522805e-04,        +1.331150080364e-03,        -1.009973578170e-04
 2.43620500e+00,        +5.897096427386e-04,        +1.331275213336e-03,        -1.010114431443e-04
 2.43621000e+00,        +5.913157153265e-04,        +1.331400806311e-03,        -1.010255850447e-04
 2.43621500e+00,        +5.929310411353e-04,        +1.331526861922e-03,        -1.010397838726e-04
 2.43622000e+00,        +5.945556919450e-04,        +1.331653382842e-03,        -1.010540400042e-04
 2.43622500e+00,        +5.961897402363e-04,        +1.331780371849e-03,        -1.010683538072e-04
 2.43623000e+00,        +5.978332591964e-04,        +1.331907831844e-03,        -1.010827256552e-04
 2.43623500e+00,        +5.994863227284e-04,        +1.332035765201e-03,        -1.010971559208e-04
 2.43624000e+00,        +6.011490054593e-04,        +1.332164174920e-03,        -1.011116449923e-04
 2.43624500e+00,        +6.028213827487e-04,        +1.332293063303e-03,        -1.011261932466e-04
 2.43625000e+00,        +6.045035306978e-04,        +1.332422433982e-03,        -1.011408010732e-04
 2.43625500e+00,        +6.061955261573e-04,        +1.332552288807e-03,        -1.011554688651e-04
 2.43626000e+00,        +6.078974467372e-04,        +1.332682631545e-03,        -1.011701970137e-04
 2.43626500e+00,        +6.096093708152e-04,        +1.332813464520e-03,        -1.011849859157e-04
 2.43627000e+00,        +6.113313775460e-04,        +1.332944790918e-03,        -1.011998359715e-04
 2.43627500e+00,        +6.130635468713e-04,        +1.333076613345e-03,        -1.012147475780e-04
 2.43628000e+00,        +6.148059595275e-04,        +1.333208935208e-03,        -1.012297211585e-04
 2.43628500e+00,        +6.165586970573e-04,        +1.333341758584e-03,        -1.012447571098e-04
 2.43629000e+00,        +6.183218418176e-04,        +1.333475087776e-03,        -1.012598558560e-04
 2.43629500e+00,        +6.200954769905e-04,        +1.333608924421e-03,        -1.012750178069e-04
 2.43630000e+00,        +6.218796865928e-04,        +1.333743272498e-03,        -1.012902433927e-04
 2.43630500e+00,        +6.236745554857e-04,        +1.333878135070e-03,        -1.013055330333e-04
 2.43631000e+00,        +6.254801693860e-04,        +1.334013514224e-03,        -1.013208871585e-04
 2.43631500e+00,        +6.272966148752e-04,        +1.334149413889e-03,        -1.013363062095e-04
 2.43632000e+00,        +6.291239794112e-04,        +1.334285837302e-03,        -1.013517906147e-04
 2.43632500e+00,        +6.309623513379e-04,        +1.334422787313e-03,        -1.013673408135e-04
 2.43633000e+00,        +6.328118198976e-04,        +1.334560266892e-03,        -1.013829572610e-04
 2.43633500e+00,        +6.346724752398e-04,        +1.334698279592e-03,        -1.013986403983e-04
 2.43634000e+00,        +6.365444084340e-04,        +1.334836828748e-03,        -1.014143906773e-04
 2.43634500e+00,        +6.384277114804e-04,        +1.334975917202e-03,        -1.014302085621e-04
 2.43635000e+00,        +6.403224773214e-04,        +1.335115548493e-03,        -1.014460945092e-04
 2.43635500e+00,        +6.422287998533e-04,        +1.335255725849e-03,        -1.014620489825e-04
 2.43636000e+00,        +6.441467739375e-04,        +1.335396452766e-03,        -1.014780724569e-04
 2.43636500e+00,        +6.460764954138e-04,        +1.335537732457e-03,        -1.014941653994e-04
 2.43637000e+00,        +6.480180611113e-04,        +1.335679568356e-03,        -1.015103282938e-04
 2.43637500e+00,        +6.499715688603e-04,        +1.335821963857e-03,        -1.015265616211e-04
 2.43638000e+00,        +6.519371175071e-04,        +1.335964922375e-03,        -1.015428658669e-04
 2.43638500e+00,        +6.539148069236e-04,        +1.336108447713e-03,        -1.015592415222e-04
 2.43639000e+00,        +6.559047380225e-04,        +1.336252542775e-03,        -1.015756890827e-04
 2.43639500e+00,        +6.579070127694e-04,        +1.336397211546e-03,        -1.015922090558e-04
 2.43640000e+00,        +6.599217341959e-04,        +1.336542457399e-03,        -1.016088019376e-04
 2.43640500e+00,        +6.619490064134e-04,        +1.336688284254e-03,        -1.016254682428e-04
 2.43641000e+00,        +6.639889346265e-04,        +1.336834695412e-03,        -1.016422084778e-04
 2.43641500e+00,        +6.660416251468e-04,        +1.336981694596e-03,        -1.016590231675e-04
 2.43642000e+00,        +6.681071854068e-04,        +1.337129285108e-03,        -1.016759128393e-04
 2.43642500e+00,        +6.701857239748e-04,        +1.337277471402e-03,        -1.016928780203e-04
 2.43643000e+00,        +6.722773505688e-04,        +1.337426256804e-03,        -1.017099192442e-04
 2.43643500e+00,        +6.743821760703e-04,        +1.337575644897e-03,        -1.017270370416e-04
 2.43644000e+00,        +6.765003125417e-04,        +1.337725639928e-03,        -1.017442319651e-04
 2.43644500e+00,        +6.786318732380e-04,        +1.337876245896e-03,        -1.017615045626e-04
 2.43645000e+00,        +6.807769726256e-04,        +1.338027466064e-03,        -1.017788553853e-04
 2.43645500e+00,        +6.829357263945e-04,        +1.338179304585e-03,        -1.017962849974e-04
 2.43646000e+00,        +6.851082514770e-04,        +1.338331765304e-03,        -1.018137939555e-04
 2.43646500e+00,        +6.872946660620e-04,        +1.338484852441e-03,        -1.018313828342e-04
 2.43647000e+00,        +6.894950896114e-04,        +1.338638569822e-03,        -1.018490522134e-04
 2.43647500e+00,        +6.917096428776e-04,        +1.338792921633e-03,        -1.018668026610e-04
 2.43648000e+00,        +6.939384479190e-04,        +1.338947911902e-03,        -1.018846347823e-04
 2.43648500e+00,        +6.961816281181e-04,        +1.339103544897e-03,        -1.019025491471e-04
