        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40050000e+00,        +6.138926554300e-10,        +6.815529768563e-10,        +6.152665662793e-10,        +4.040455373582e-10,        +1.176586510489e-07,        +3.405765694483e-07,        +4.924649179434e-10,        +9.123113912999e-10,        +5.648884222523e-10,        +4.800240199091e-10,        +1.061478223496e-07,        +3.496858402847e-07,        +2.704933751580e-10,        +1.207076645097e-09,        +3.825643007670e-10,        +7.093683571503e-10,        +5.410173442053e-08,        +3.740700677540e-07,        -3.493562123769e-10,        +1.665809053072e-09,        +4.506061614530e-11,        +1.111196323152e-10,        +9.628272005156e-09,        +1.757553062052e-07
 2.40052500e+00,        +6.146504176137e-10,        +6.819157195745e-10,        +6.158375937322e-10,        +4.041867447218e-10,        +1.177596581968e-07,        +3.407669063535e-07,        +4.931645909048e-10,        +9.128174595095e-10,        +5.654369716559e-10,        +4.801830909779e-10,        +1.062431870747e-07,        +3.498820008720e-07,        +2.710972106102e-10,        +1.207807247251e-09,        +3.830487336512e-10,        +7.096428948792e-10,        +5.416798422074e-08,        +3.742835302532e-07,        -3.494438866994e-10,        +1.665731105908e-09,        +4.515209472043e-11,        +1.111020527746e-10,        +9.644134659563e-09,        +1.758154866369e-07
 2.40055000e+00,        +6.154076383420e-10,        +6.822781124854e-10,        +6.164082714059e-10,        +4.043275951017e-10,        +1.178608192952e-07,        +3.409574534430e-07,        +4.938637047745e-10,        +9.133233666657e-10,        +5.659852007491e-10,        +4.803417929339e-10,        +1.063386951552e-07,        +3.500783756518e-07,        +2.717005008675e-10,        +1.208537902912e-09,        +3.835329303294e-10,        +7.099170322635e-10,        +5.423433999582e-08,        +3.744972267933e-07,        -3.495320866998e-10,        +1.665652425961e-09,        +4.524348070613e-11,        +1.110839869153e-10,        +9.660025669992e-09,        +1.758757333709e-07
 2.40057500e+00,        +6.161643179640e-10,        +6.826401568562e-10,        +6.169785995692e-10,        +4.044680891421e-10,        +1.179621346716e-07,        +3.411482110514e-07,        +4.945622598838e-10,        +9.138291143478e-10,        +5.665331097566e-10,        +4.805001264054e-10,        +1.064343469050e-07,        +3.502749649761e-07,        +2.723032461856e-10,        +1.209268614071e-09,        +3.840168908758e-10,        +7.101907699822e-10,        +5.430080200285e-08,        +3.747111577818e-07,        -3.496208133975e-10,        +1.665573013023e-09,        +4.533477375314e-11,        +1.110654347093e-10,        +9.675945103099e-09,        +1.759360465202e-07
 2.40060000e+00,        +6.169204568317e-10,        +6.830018539523e-10,        +6.175485784901e-10,        +4.046082274862e-10,        +1.180636046541e-07,        +3.413391795138e-07,        +4.952602565663e-10,        +9.143347041364e-10,        +5.670806989030e-10,        +4.806580920177e-10,        +1.065301426390e-07,        +3.504717691975e-07,        +2.729054468180e-10,        +1.209999382714e-09,        +3.845006153665e-10,        +7.104641087136e-10,        +5.436737049966e-08,        +3.749253236270e-07,        -3.497100678140e-10,        +1.665492866881e-09,        +4.542597351187e-11,        +1.110463961274e-10,        +9.691893025734e-09,        +1.759964261981e-07
 2.40062500e+00,        +6.176760552937e-10,        +6.833632050379e-10,        +6.181182084381e-10,        +4.047480107756e-10,        +1.181652295719e-07,        +3.415303591661e-07,        +4.959576951538e-10,        +9.148401376112e-10,        +5.676279684123e-10,        +4.808156903960e-10,        +1.066260826730e-07,        +3.506687886696e-07,        +2.735071030211e-10,        +1.210730210826e-09,        +3.849841038740e-10,        +7.107370491389e-10,        +5.443404574481e-08,        +3.751397247382e-07,        -3.497998509733e-10,        +1.665411987323e-09,        +4.551707963247e-11,        +1.110268711388e-10,        +9.707869504952e-09,        +1.760568725182e-07
 2.40065000e+00,        +6.184311136995e-10,        +6.837242113774e-10,        +6.186874896808e-10,        +4.048874396518e-10,        +1.182670097549e-07,        +3.417217503448e-07,        +4.966545759794e-10,        +9.153454163518e-10,        +5.681749185086e-10,        +4.809729221626e-10,        +1.067221673237e-07,        +3.508660237464e-07,        +2.741082150479e-10,        +1.211461100397e-09,        +3.854673564743e-10,        +7.110095919336e-10,        +5.450082799763e-08,        +3.753543615254e-07,        -3.498901639015e-10,        +1.665330374134e-09,        +4.560809176474e-11,        +1.110068597115e-10,        +9.723874608010e-09,        +1.761173855944e-07
 2.40067500e+00,        +6.191856324001e-10,        +6.840848742317e-10,        +6.192564224874e-10,        +4.050265147539e-10,        +1.183689455342e-07,        +3.419133533872e-07,        +4.973508993744e-10,        +9.158505419378e-10,        +5.687215494157e-10,        +4.811297879405e-10,        +1.068183969085e-07,        +3.510634747830e-07,        +2.747087831556e-10,        +1.212192053410e-09,        +3.859503732411e-10,        +7.112817377760e-10,        +5.456771751819e-08,        +3.755692343995e-07,        -3.499810076267e-10,        +1.665248027097e-09,        +4.569900955820e-11,        +1.109863618119e-10,        +9.739908402364e-09,        +1.761779655406e-07
 2.40070000e+00,        +6.199396117426e-10,        +6.844451948637e-10,        +6.198250071240e-10,        +4.051652367196e-10,        +1.184710372415e-07,        +3.421051686313e-07,        +4.980466656704e-10,        +9.163555159478e-10,        +5.692678613573e-10,        +4.812862883500e-10,        +1.069147717459e-07,        +3.512611421349e-07,        +2.753088075990e-10,        +1.212923071857e-09,        +3.864331542479e-10,        +7.115534873407e-10,        +5.463471456733e-08,        +3.757843437723e-07,        -3.500723831796e-10,        +1.665164945992e-09,        +4.578983266204e-11,        +1.109653774054e-10,        +9.755970955677e-09,        +1.762386124711e-07
 2.40072500e+00,        +6.206930520766e-10,        +6.848051745323e-10,        +6.203932438584e-10,        +4.053036061864e-10,        +1.185732852097e-07,        +3.422971964156e-07,        +4.987418752000e-10,        +9.168603399614e-10,        +5.698138545558e-10,        +4.814424240110e-10,        +1.070112921552e-07,        +3.514590261585e-07,        +2.759082886323e-10,        +1.213654157729e-09,        +3.869156995716e-10,        +7.118248413012e-10,        +5.470181940665e-08,        +3.759996900564e-07,        -3.501642915926e-10,        +1.665081130598e-09,        +4.588056072514e-11,        +1.109439064556e-10,        +9.772062335815e-09,        +1.762993265006e-07
 2.40075000e+00,        +6.214459537501e-10,        +6.851648144964e-10,        +6.209611329577e-10,        +4.054416237892e-10,        +1.186756897724e-07,        +3.424894370796e-07,        +4.994365282938e-10,        +9.173650155579e-10,        +5.703595292355e-10,        +4.815981955414e-10,        +1.071079584565e-07,        +3.516571272110e-07,        +2.765072265095e-10,        +1.214385313014e-09,        +3.873980092852e-10,        +7.120958003298e-10,        +5.476903229849e-08,        +3.762152736652e-07,        -3.502567339011e-10,        +1.664996580692e-09,        +4.597119339606e-11,        +1.109219489247e-10,        +9.788182610845e-09,        +1.763601077437e-07
 2.40077500e+00,        +6.221983171107e-10,        +6.855241160156e-10,        +6.215286746886e-10,        +4.055792901627e-10,        +1.187782512641e-07,        +3.426818909632e-07,        +5.001306252819e-10,        +9.178695443124e-10,        +5.709048856181e-10,        +4.817536035575e-10,        +1.072047709708e-07,        +3.518554456500e-07,        +2.771056214875e-10,        +1.215116539707e-09,        +3.878800834633e-10,        +7.123663650970e-10,        +5.483635350598e-08,        +3.764310950131e-07,        -3.503497111419e-10,        +1.664911296047e-09,        +4.606173032303e-11,        +1.108995047738e-10,        +9.804331849045e-09,        +1.764209563156e-07
 2.40080000e+00,        +6.229501425053e-10,        +6.858830803459e-10,        +6.220958693179e-10,        +4.057166059397e-10,        +1.188809700204e-07,        +3.428745584073e-07,        +5.008241664966e-10,        +9.183739278074e-10,        +5.714499239267e-10,        +4.819086486754e-10,        +1.073017300201e-07,        +3.520539818342e-07,        +2.777034738202e-10,        +1.215847839797e-09,        +3.883619221806e-10,        +7.126365362765e-10,        +5.490378329301e-08,        +3.766471545154e-07,        -3.504432243545e-10,        +1.664825276438e-09,        +4.615217115398e-11,        +1.108765739624e-10,        +9.820510118895e-09,        +1.764818723314e-07
 2.40082500e+00,        +6.237014302828e-10,        +6.862417087432e-10,        +6.226627171101e-10,        +4.058535717521e-10,        +1.189838463777e-07,        +3.430674397533e-07,        +5.015171522672e-10,        +9.188781676189e-10,        +5.719946443832e-10,        +4.820633315098e-10,        +1.073988359273e-07,        +3.522527361229e-07,        +2.783007837638e-10,        +1.216579215281e-09,        +3.888435255120e-10,        +7.129063145327e-10,        +5.497132192424e-08,        +3.768634525882e-07,        -3.505372745807e-10,        +1.664738521633e-09,        +4.624251553648e-11,        +1.108531564486e-10,        +9.836717489083e-09,        +1.765428559068e-07
 2.40085000e+00,        +6.244521807875e-10,        +6.866000024632e-10,        +6.232292183331e-10,        +4.059901882301e-10,        +1.190868806734e-07,        +3.432605353434e-07,        +5.022095829236e-10,        +9.193822653239e-10,        +5.725390472101e-10,        +4.822176526731e-10,        +1.074960890160e-07,        +3.524517088761e-07,        +2.788975515702e-10,        +1.217310668147e-09,        +3.893248935322e-10,        +7.131757005371e-10,        +5.503896966509e-08,        +3.770799896483e-07,        -3.506318628646e-10,        +1.664651031402e-09,        +4.633276311774e-11,        +1.108292521891e-10,        +9.852954028505e-09,        +1.766039071575e-07
 2.40087500e+00,        +6.252023943671e-10,        +6.869579627590e-10,        +6.237953732507e-10,        +4.061264560029e-10,        +1.191900732457e-07,        +3.434538455204e-07,        +5.029014587974e-10,        +9.198862225014e-10,        +5.730831326287e-10,        +4.823716127776e-10,        +1.075934896108e-07,        +3.526509004546e-07,        +2.794937774989e-10,        +1.218042200393e-09,        +3.898060263143e-10,        +7.134446949558e-10,        +5.510672678178e-08,        +3.772967661137e-07,        -3.507269902523e-10,        +1.664562805510e-09,        +4.642291354469e-11,        +1.108048611392e-10,        +9.869219806264e-09,        +1.766650261996e-07
 2.40090000e+00,        +6.259520713674e-10,        +6.873155908839e-10,        +6.243611821292e-10,        +4.062623756987e-10,        +1.192934244339e-07,        +3.436473706280e-07,        +5.035927802165e-10,        +9.203900407303e-10,        +5.736269008604e-10,        +4.825252124337e-10,        +1.076910380374e-07,        +3.528503112198e-07,        +2.800894618010e-10,        +1.218773814015e-09,        +3.902869239349e-10,        +7.137132984538e-10,        +5.517459354129e-08,        +3.775137824031e-07,        -3.508226577925e-10,        +1.664473843722e-09,        +4.651296646389e-11,        +1.107799832529e-10,        +9.885514891673e-09,        +1.767262131493e-07
 2.40092500e+00,        +6.267012121337e-10,        +6.876728880898e-10,        +6.249266452316e-10,        +4.063979479441e-10,        +1.193969345781e-07,        +3.438411110103e-07,        +5.042835475116e-10,        +9.208937215842e-10,        +5.741703521270e-10,        +4.826784522496e-10,        +1.077887346221e-07,        +3.530499415342e-07,        +2.806846047334e-10,        +1.219505511010e-09,        +3.907675864678e-10,        +7.139815116946e-10,        +5.524257021139e-08,        +3.777310389360e-07,        -3.509188665359e-10,        +1.664384145800e-09,        +4.660292152153e-11,        +1.107546184825e-10,        +9.901839354253e-09,        +1.767874681231e-07
 2.40095000e+00,        +6.274498170110e-10,        +6.880298556278e-10,        +6.254917628243e-10,        +4.065331733645e-10,        +1.195006040193e-07,        +3.440350670126e-07,        +5.049737610108e-10,        +9.213972666438e-10,        +5.747134866491e-10,        +4.828313328354e-10,        +1.078865796924e-07,        +3.532497917606e-07,        +2.812792065522e-10,        +1.220237293374e-09,        +3.912480139863e-10,        +7.142493353421e-10,        +5.531065706062e-08,        +3.779485361330e-07,        -3.510156175361e-10,        +1.664293711503e-09,        +4.669277836349e-11,        +1.107287667792e-10,        +9.918193263737e-09,        +1.768487912379e-07
 2.40097500e+00,        +6.281978863444e-10,        +6.883864947472e-10,        +6.260565351702e-10,        +4.066680525841e-10,        +1.196044330998e-07,        +3.442292389804e-07,        +5.056634210437e-10,        +9.219006774838e-10,        +5.752563046476e-10,        +4.829838547966e-10,        +1.079845735763e-07,        +3.534498622628e-07,        +2.818732675082e-10,        +1.220969163108e-09,        +3.917282065674e-10,        +7.145167700566e-10,        +5.537885435832e-08,        +3.781662744154e-07,        -3.511129118482e-10,        +1.664202540590e-09,        +4.678253663527e-11,        +1.107024280928e-10,        +9.934576690068e-09,        +1.769101826106e-07
 2.40100000e+00,        +6.289454204781e-10,        +6.887428066980e-10,        +6.266209625335e-10,        +4.068025862257e-10,        +1.197084221623e-07,        +3.444236272603e-07,        +5.063525279387e-10,        +9.224039556822e-10,        +5.757988063430e-10,        +4.831360187379e-10,        +1.080827166031e-07,        +3.536501534053e-07,        +2.824667878599e-10,        +1.221701122209e-09,        +3.922081642844e-10,        +7.147838165009e-10,        +5.544716237461e-08,        +3.783842542055e-07,        -3.512107505302e-10,        +1.664110632817e-09,        +4.687219598202e-11,        +1.106756023713e-10,        +9.950989703402e-09,        +1.769716423586e-07
 2.40102500e+00,        +6.296924197558e-10,        +6.890987927271e-10,        +6.271850451782e-10,        +4.069367749113e-10,        +1.198125715508e-07,        +3.446182321994e-07,        +5.070410820242e-10,        +9.229071028163e-10,        +5.763409919550e-10,        +4.832878252656e-10,        +1.081810091029e-07,        +3.538506655534e-07,        +2.830597678631e-10,        +1.222433172675e-09,        +3.926878872106e-10,        +7.150504753354e-10,        +5.551558138042e-08,        +3.786024759264e-07,        -3.513091346423e-10,        +1.664017987936e-09,        +4.696175604851e-11,        +1.106482895618e-10,        +9.967432374107e-09,        +1.770331705994e-07
