        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14]
 1.10e+01,        +3.568936291196e-10,        +3.568936291058e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.480654107076e-13,        +1.255459257743e-03,        +1.889219956056e-11,        +5.293509891979e-02,        +4.480654107076e-13,        +1.255459257743e-03,        +1.889219956056e-11,        +5.293509891979e-02,        +6.352162168268e-12,        +1.779847453130e-02,        +8.475024105762e-12,        +2.374663881503e-02,        +3.497102051260e-10,        +9.798723669814e-01,        +3.157391052139e-10,        +8.846868631558e-01,        +2.940375935900e-13,        +8.238801973443e-04,        +9.676344209695e-12,        +2.711268406202e-02,        +8.915882104358e-14,        +2.498190322520e-04,        +4.110956015896e-12,        +1.151871504738e-02
 1.20e+01,        +3.568936291196e-10,        +3.568936296167e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.030499553305e-11,        +2.887413697597e-02,        +2.588643658402e-13,        +7.253263839936e-04,        +1.030499553305e-11,        +2.887413697597e-02,        +2.588643658402e-13,        +7.253263839936e-04,        +1.032726416198e-10,        +2.893653267908e-01,        +8.192423370806e-12,        +2.295480415160e-02,        +2.296164676474e-10,        +6.433750812918e-01,        +3.214509058989e-10,        +9.006910721388e-01,        +5.627605915590e-12,        +1.576830029012e-02,        +2.501881259572e-11,        +7.010159475974e-02,        +8.071918403870e-12,        +2.261715465132e-02,        +1.972623385368e-12,        +5.527202565891e-03
 1.30e+01,        +3.568936291196e-10,        +3.568936291082e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.754773810279e-16,        +1.612461904819e-06,        +1.102413351169e-15,        +3.088912945641e-06,        +5.754773810279e-16,        +1.612461904819e-06,        +1.102413351169e-15,        +3.088912945641e-06,        +4.184004443395e-15,        +1.172339347641e-05,        +1.771514188993e-15,        +4.963703592637e-06,        +3.565873699267e-10,        +9.991418754275e-01,        +3.483482218831e-10,        +9.760561508302e-01,        +3.012717612777e-13,        +8.441500119260e-04,        +8.542074432852e-12,        +2.393451083506e-02,        +2.279498076713e-16,        +6.387051745183e-07,        +4.588646507874e-16,        +1.285718245893e-06
 1.40e+01,        +3.568936291196e-10,        +3.568936291439e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.523405867781e-16,        +2.108024703702e-06,        +1.710049624674e-15,        +4.791482629646e-06,        +7.523405867781e-16,        +2.108024703702e-06,        +1.710049624674e-15,        +4.791482629646e-06,        +5.017108918508e-15,        +1.405771498607e-05,        +2.173117653660e-15,        +6.088978553283e-06,        +3.565862210142e-10,        +9.991386562259e-01,        +3.483351874385e-10,        +9.760196288011e-01,        +3.013067516682e-13,        +8.442480534367e-04,        +8.553852365666e-12,        +2.396751207408e-02,        +3.319042762100e-16,        +9.299809498666e-07,        +7.061724560384e-16,        +1.978663664388e-06
 1.50e+01,        +3.568936291196e-10,        +3.568936291053e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.952427158076e-12,        +8.272568959436e-03,        +1.032478662010e-11,        +2.892959071862e-02,        +2.952427158076e-12,        +8.272568959436e-03,        +1.032478662010e-11,        +2.892959071862e-02,        +1.387051421817e-11,        +3.886456099648e-02,        +6.437938561067e-12,        +1.803881615149e-02,        +3.369762266476e-10,        +9.441923283383e-01,        +3.065703195098e-10,        +8.589963353461e-01,        +1.287505756835e-12,        +3.607533594843e-03,        +2.984323747878e-11,        +8.361941779010e-02,        +1.806955338972e-12,        +5.063008110930e-03,        +3.717346935521e-12,        +1.041583999367e-02
 1.60e+01,        +3.568936291196e-10,        +3.568936291201e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.954574284806e-12,        +8.278585112585e-03,        +1.033060547430e-11,        +2.894589488685e-02,        +2.954574284806e-12,        +8.278585112585e-03,        +1.033060547430e-11,        +2.894589488685e-02,        +1.387209178045e-11,        +3.886898125548e-02,        +6.437500724507e-12,        +1.803758935226e-02,        +3.369726293546e-10,        +9.441822488842e-01,        +3.065700196439e-10,        +8.589954950997e-01,        +1.287912174430e-12,        +3.608672358784e-03,        +2.984094134898e-11,        +8.361298413355e-02,        +1.806421525343e-12,        +5.061512388997e-03,        +3.714561928376e-12,        +1.040803652768e-02
 1.70e+01,        +3.568936291196e-10,        +3.568936288354e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.740100965761e-12,        +1.047959576916e-02,        +1.127335781901e-13,        +3.158744485238e-04,        +3.740100965761e-12,        +1.047959576916e-02,        +1.127335781901e-13,        +3.158744485238e-04,        +2.449189733503e-11,        +6.862520184359e-02,        +1.927768892025e-12,        +5.401522291994e-03,        +3.237426230621e-10,        +9.071123624725e-01,        +3.177623323606e-10,        +8.903558558820e-01,        +3.702129954865e-12,        +1.037320269347e-02,        +3.671773615535e-11,        +1.028814559542e-01,        +1.216877801871e-12,        +3.409637221245e-03,        +3.730578492482e-13,        +1.045291423289e-03
 1.80e+01,        +3.568936291196e-10,        +3.568936290465e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.398578677527e-15,        +2.633439745257e-05,        +3.792389159677e-13,        +1.062610495404e-03,        +9.398578677527e-15,        +2.633439745257e-05,        +3.792389159677e-13,        +1.062610495404e-03,        +2.564419437649e-13,        +7.185388666013e-04,        +5.402817931332e-13,        +1.513845440661e-03,        +3.491587937007e-10,        +9.783273368090e-01,        +3.308251872076e-10,        +9.269573908938e-01,        +7.465395515836e-12,        +2.091770462323e-02,        +2.499008021521e-11,        +7.002108802550e-02,        +3.599380658330e-15,        +1.008530375622e-05,        +1.588409146311e-13,        +4.450651446354e-04
 1.90e+01,        +3.568936291196e-10,        +3.568936291141e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.871419700201e-15,        +2.765927686788e-05,        +3.798247164260e-13,        +1.064251881909e-03,        +9.871419700201e-15,        +2.765927686788e-05,        +3.798247164260e-13,        +1.064251881909e-03,        +2.601198455295e-13,        +7.288441829886e-04,        +5.416342021833e-13,        +1.517634830097e-03,        +3.491432823080e-10,        +9.782838745797e-01,        +3.307815336357e-10,        +9.268350753606e-01,        +7.476579939903e-12,        +2.094904287966e-02,        +2.503131787847e-11,        +7.013663410187e-02,        +3.775606533725e-15,        +1.057908078393e-05,        +1.593186813455e-13,        +4.464038255348e-04
 2.00e+01,        +3.568936291196e-10,        +3.568936278275e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.284781600658e-11,        +3.599900630974e-02,        +4.006938072849e-13,        +1.122726145950e-03,        +1.284781600658e-11,        +3.599900630974e-02,        +4.006938072849e-13,        +1.122726145950e-03,        +6.678488256618e-11,        +1.871282564806e-01,        +4.726349458801e-12,        +1.324302002132e-02,        +2.674175107426e-10,        +7.492919147989e-01,        +3.123958712433e-10,        +8.753192741067e-01,        +7.808212172647e-12,        +2.187826157589e-02,        +3.872675309085e-11,        +1.085106319398e-01,        +2.035207631643e-12,        +5.702560834901e-03,        +6.439602272688e-13,        +1.804347786170e-03
 2.10e+01,        +3.568936291196e-10,        +3.568936291830e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.461989312911e-14,        +6.898384033876e-05,        +3.285940756183e-13,        +9.207059155709e-04,        +2.461989312911e-14,        +6.898384033876e-05,        +3.285940756183e-13,        +9.207059155709e-04,        +3.878241718914e-13,        +1.086665998628e-03,        +5.999611493502e-13,        +1.681064329233e-03,        +3.447408884946e-10,        +9.659485638480e-01,        +3.116349666853e-10,        +8.731872502143e-01,        +1.173044902758e-11,        +3.286819396726e-02,        +4.410152612348e-11,        +1.235705053756e-01,        +9.847532433178e-15,        +2.759234581315e-05,        +2.285811492395e-13,        +6.404741652653e-04
 2.20e+01,        +3.568936291196e-10,        +3.568936289929e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.445599410367e-14,        +6.852460259377e-05,        +3.272134711635e-13,        +9.168375240737e-04,        +2.445599410367e-14,        +6.852460259377e-05,        +3.272134711635e-13,        +9.168375240737e-04,        +3.876540372951e-13,        +1.086189289093e-03,        +6.000776371452e-13,        +1.681390723725e-03,        +3.447454574317e-10,        +9.659613658055e-01,        +3.116459639441e-10,        +8.732180645072e-01,        +1.172614532407e-11,        +3.285613518235e-02,        +4.409097587520e-11,        +1.235409441172e-01,        +9.916332465011e-15,        +2.778512042782e-05,        +2.293980652501e-13,        +6.427631277629e-04
 2.30e+01,        +3.568936291196e-10,        +3.568936291488e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.383696285185e-14,        +6.679010468933e-05,        +1.038557585293e-13,        +2.909991942892e-04,        +2.383696285185e-14,        +6.679010468933e-05,        +1.038557585293e-13,        +2.909991942892e-04,        +1.912493848719e-13,        +5.358722298956e-04,        +1.339342278477e-13,        +3.752777211717e-04,        +3.554633708992e-10,        +9.959924803815e-01,        +3.305027699084e-10,        +9.260539917639e-01,        +1.201169673532e-12,        +3.365623747600e-03,        +2.612361172155e-11,        +7.319719263090e-02,        +1.400219916448e-14,        +3.923353633131e-05,        +2.945753251244e-14,        +8.253868970060e-05
 2.40e+01,        +3.568936291196e-10,        +3.568936290940e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.388466235057e-14,        +6.692375655314e-05,        +1.044178854913e-13,        +2.925742489614e-04,        +2.388466235057e-14,        +6.692375655314e-05,        +1.044178854913e-13,        +2.925742489614e-04,        +1.911679658564e-13,        +5.356440974527e-04,        +1.337587154735e-13,        +3.747859434002e-04,        +3.554628769384e-10,        +9.959910963253e-01,        +3.304771122757e-10,        +9.259821003661e-01,        +1.201762365523e-12,        +3.367284444072e-03,        +2.614928403563e-11,        +7.326912531898e-02,        +1.393718752090e-14,        +3.905137661124e-05,        +2.905618164468e-14,        +8.141412251723e-05
 2.50e+01,        +3.568936291196e-10,        +3.568936289086e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.326979237277e-12,        +9.322047147447e-03,        +1.918649557021e-12,        +5.375970321713e-03,        +3.326979237277e-12,        +9.322047147447e-03,        +1.918649557021e-12,        +5.375970321713e-03,        +1.403977518996e-11,        +3.933882267552e-02,        +4.665796173557e-12,        +1.307335238184e-02,        +3.363838596423e-10,        +9.425325424611e-01,        +3.373066901011e-10,        +9.451182727263e-01,        +1.026380971129e-12,        +2.875873614391e-03,        +8.466761718966e-12,        +2.372348798957e-02,        +2.116634078955e-12,        +5.930714101498e-03,        +4.535731357923e-12,        +1.270891658053e-02
