        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.43040000e+00,        +2.048415300364e-08,        +2.042422349126e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.922996658087e-11,        +1.915137353930e-03,        +5.176927062809e-10,        +2.534699576228e-02,        +3.922996658087e-11,        +1.915137353930e-03,        +5.176927062809e-10,        +2.534699576228e-02,        +2.696301848031e-11,        +1.316286715664e-03,        +2.535504080860e-10,        +1.241420062772e-02,        +2.040771146947e-08,        +9.962682599495e-01,        +1.948408097422e-08,        +9.539692406204e-01,        +1.024854910209e-11,        +5.003159808594e-04,        +1.688994026743e-10,        +8.269562989584e-03
 2.43042000e+00,        +2.072967877711e-08,        +2.066988778845e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +3.970956176292e-11,        +1.915589826060e-03,        +5.240084337721e-10,        +2.535129552396e-02,        +3.970956176292e-11,        +1.915589826060e-03,        +5.240084337721e-10,        +2.535129552396e-02,        +2.729219084664e-11,        +1.316575675875e-03,        +2.566407535015e-10,        +1.241616578320e-02,        +2.065230348488e-08,        +9.962674147988e-01,        +1.971828585987e-08,        +9.539619209195e-01,        +1.037353961913e-11,        +5.004196992469e-04,        +1.709527413157e-10,        +8.270617773319e-03
 2.43044000e+00,        +2.097936284929e-08,        +2.091971366256e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.019733030269e-11,        +1.916041520968e-03,        +5.304317584163e-10,        +2.535559362678e-02,        +4.019733030269e-11,        +1.916041520968e-03,        +5.304317584163e-10,        +2.535559362678e-02,        +2.762697055621e-11,        +1.316864137137e-03,        +2.597837226353e-10,        +1.241812994316e-02,        +2.090103789047e-08,        +9.962665711354e-01,        +1.995645718190e-08,        +9.539546049150e-01,        +1.050065796441e-11,        +5.005232065357e-04,        +1.730409996053e-10,        +8.271671515038e-03
 2.43046000e+00,        +2.123329169734e-08,        +2.117378767353e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.069344295740e-11,        +1.916492437321e-03,        +5.369649277898e-10,        +2.535989007111e-02,        +4.069344295740e-11,        +1.916492437321e-03,        +5.369649277898e-10,        +2.535989007111e-02,        +2.796747472219e-11,        +1.317152098734e-03,        +2.629804143404e-10,        +1.242009310735e-02,        +2.115400083111e-08,        +9.962657289616e-01,        +2.019867742542e-08,        +9.539472926080e-01,        +1.062994855660e-11,        +5.006265023867e-04,        +1.751649059802e-10,        +8.272724213591e-03
 2.43048000e+00,        +2.149155378900e-08,        +2.143219837423e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.119807443501e-11,        +1.916942573789e-03,        +5.436102414634e-10,        +2.536418485735e-02,        +4.119807443501e-11,        +1.916942573789e-03,        +5.436102414634e-10,        +2.536418485735e-02,        +2.831382316646e-11,        +1.317439559951e-03,        +2.662319528799e-10,        +1.242205527548e-02,        +2.141128043456e-08,        +9.962648882798e-01,        +2.044503097419e-08,        +9.539399839993e-01,        +1.076145684116e-11,        +5.007295864603e-04,        +1.773252057032e-10,        +8.273775867825e-03
 2.43050000e+00,        +2.175423962635e-08,        +2.169503635421e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.171140348192e-11,        +1.917391929038e-03,        +5.503700521544e-10,        +2.536847798587e-02,        +4.171140348192e-11,        +1.917391929038e-03,        +5.503700521544e-10,        +2.536847798587e-02,        +2.866613847967e-11,        +1.317726520073e-03,        +2.695394884896e-10,        +1.242401644731e-02,        +2.167296685507e-08,        +9.962640490925e-01,        +2.069560415233e-08,        +9.539326790902e-01,        +1.089522931306e-11,        +5.008324584170e-04,        +1.795226612343e-10,        +8.274826476587e-03
 2.43052000e+00,        +2.202144179006e-08,        +2.196239428401e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.223361297156e-11,        +1.917840501734e-03,        +5.572467668938e-10,        +2.537276945709e-02,        +4.223361297156e-11,        +1.917840501734e-03,        +5.572467668938e-10,        +2.537276945709e-02,        +2.902454608203e-11,        +1.318012978384e-03,        +2.729041979485e-10,        +1.242597662256e-02,        +2.193915231747e-08,        +9.962632114020e-01,        +2.095048526655e-08,        +9.539253778816e-01,        +1.103131353980e-11,        +5.009351179166e-04,        +1.817580526080e-10,        +8.275876038723e-03
 2.43054000e+00,        +2.229325498415e-08,        +2.223436695999e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276488999415e-11,        +1.918288290541e-03,        +5.642428482062e-10,        +2.537705927142e-02,        +4.276488999415e-11,        +1.918288290541e-03,        +5.642428482062e-10,        +2.537705927142e-02,        +2.938917428472e-11,        +1.318298934167e-03,        +2.763272851541e-10,        +1.242793580097e-02,        +2.220993116169e-08,        +9.962623752107e-01,        +2.120976464882e-08,        +9.539180803745e-01,        +1.116975818468e-11,        +5.010375646187e-04,        +1.840321778132e-10,        +8.276924553073e-03
 2.43056000e+00,        +2.256977608103e-08,        +2.251105134951e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.330542594713e-11,        +1.918735294124e-03,        +5.713608152998e-10,        +2.538134742927e-02,        +4.330542594713e-11,        +1.918735294124e-03,        +5.713608152998e-10,        +2.538134742927e-02,        +2.976015435190e-11,        +1.318584386706e-03,        +2.798099817044e-10,        +1.242989398230e-02,        +2.248539988770e-08,        +9.962615405210e-01,        +2.147353469932e-08,        +9.539107865700e-01,        +1.131061303028e-11,        +5.011397981828e-04,        +1.863458531778e-10,        +8.277972018480e-03
 2.43058000e+00,        +2.285110416696e-08,        +2.279254663635e-08,        +0.000000000000e+00,        +0.000000000000e+00,        +4.385541662642e-11,        +1.919181511143e-03,        +5.786032452672e-10,        +2.538563393107e-02,        +4.385541662642e-11,        +1.919181511143e-03,        +5.786032452672e-10,        +2.538563393107e-02,        +3.013762056322e-11,        +1.318869335286e-03,        +2.833535474835e-10,        +1.243185116628e-02,        +2.276565720077e-08,        +9.962607073353e-01,        +2.174188992985e-08,        +9.539034964689e-01,        +1.145392900207e-11,        +5.012418182677e-04,        +1.886999137552e-10,        +8.279018433782e-03
