        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41010000e+00,        +7.778333704142e-11,        +7.728756843132e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.161641026541e-13,        +2.779054112052e-03,        +9.133408140492e-13,        +1.181743497159e-02,        +2.161641026541e-13,        +2.779054112052e-03,        +9.133408140492e-13,        +1.181743497159e-02,        +1.310787870092e-13,        +1.685178239903e-03,        +5.555599176325e-13,        +7.188218350098e-03,        +7.734914712384e-11,        +9.944179571860e-01,        +7.522579871203e-11,        +9.733233977839e-01,        +8.694702791603e-14,        +1.117810462024e-03,        +5.928689876072e-13,        +7.670948894374e-03
 2.41010500e+00,        +7.779466631047e-11,        +7.729857665285e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.162209258499e-13,        +2.779379822609e-03,        +9.135452695699e-13,        +1.181839704077e-02,        +2.162209258499e-13,        +2.779379822609e-03,        +9.135452695699e-13,        +1.181839704077e-02,        +1.311108803150e-13,        +1.685345365346e-03,        +5.556852847287e-13,        +7.188816518890e-03,        +7.736036892636e-11,        +9.944173886886e-01,        +7.523634032561e-11,        +9.733211604077e-01,        +8.696557794399e-14,        +1.117886123413e-03,        +5.930057729378e-13,        +7.671626032663e-03
 2.41011000e+00,        +7.780599964543e-11,        +7.730958889513e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.162777708198e-13,        +2.779705572905e-03,        +9.137497979108e-13,        +1.181935916320e-02,        +2.162777708198e-13,        +2.779705572905e-03,        +9.137497979108e-13,        +1.181935916320e-02,        +1.311429855942e-13,        +1.685512507928e-03,        +5.558106965275e-13,        +7.189414721651e-03,        +7.737159475449e-11,        +9.944168201306e-01,        +7.524688579349e-11,        +9.733189229031e-01,        +8.698413452605e-14,        +1.117961788582e-03,        +5.931426072007e-13,        +7.672303212028e-03
 2.41011500e+00,        +7.781733704844e-11,        +7.732060516027e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163346375759e-13,        +2.780031362950e-03,        +9.139543991091e-13,        +1.182032133885e-02,        +2.163346375759e-13,        +2.780031362950e-03,        +9.139543991091e-13,        +1.182032133885e-02,        +1.311751028534e-13,        +1.685679667652e-03,        +5.559361530519e-13,        +7.190012958377e-03,        +7.738282461034e-11,        +9.944162515119e-01,        +7.525743511769e-11,        +9.733166852703e-01,        +8.700269766573e-14,        +1.118037457534e-03,        +5.932794904212e-13,        +7.672980432466e-03
 2.41012000e+00,        +7.782867852161e-11,        +7.733162545039e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163915261300e-13,        +2.780357192753e-03,        +9.141590732020e-13,        +1.182128356772e-02,        +2.163915261300e-13,        +2.780357192753e-03,        +9.141590732020e-13,        +1.182128356772e-02,        +1.312072320990e-13,        +1.685846844522e-03,        +5.560616543249e-13,        +7.190611229059e-03,        +7.739405849601e-11,        +9.944156828325e-01,        +7.526798830023e-11,        +9.733144475092e-01,        +8.702126736654e-14,        +1.118113130270e-03,        +5.934164226250e-13,        +7.673657693975e-03
 2.41012500e+00,        +7.784002406707e-11,        +7.734264976758e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.164484364943e-13,        +2.780683062325e-03,        +9.143638202267e-13,        +1.182224584979e-02,        +2.164484364943e-13,        +2.780683062325e-03,        +9.143638202267e-13,        +1.182224584979e-02,        +1.312393733376e-13,        +1.686014038543e-03,        +5.561872003697e-13,        +7.191209533692e-03,        +7.740529641360e-11,        +9.944151140923e-01,        +7.527854534315e-11,        +9.733122096200e-01,        +8.703984363200e-14,        +1.118188806789e-03,        +5.935534038374e-13,        +7.674334996552e-03
 2.41013000e+00,        +7.785137368695e-11,        +7.735367811397e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.165053686806e-13,        +2.781008971675e-03,        +9.145686402206e-13,        +1.182320818505e-02,        +2.165053686806e-13,        +2.781008971675e-03,        +9.145686402206e-13,        +1.182320818505e-02,        +1.312715265757e-13,        +1.686181249717e-03,        +5.563127912091e-13,        +7.191807872270e-03,        +7.741653836522e-11,        +9.944145452915e-01,        +7.528910624845e-11,        +9.733099716025e-01,        +8.705842646561e-14,        +1.118264487094e-03,        +5.936904340840e-13,        +7.675012340193e-03
 2.41013500e+00,        +7.786272738338e-11,        +7.736471049166e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.165623227011e-13,        +2.781334920812e-03,        +9.147735332210e-13,        +1.182417057348e-02,        +2.165623227011e-13,        +2.781334920812e-03,        +9.147735332210e-13,        +1.182417057348e-02,        +1.313036918197e-13,        +1.686348478049e-03,        +5.564384268663e-13,        +7.192406244786e-03,        +7.742778435299e-11,        +9.944139764300e-01,        +7.529967101818e-11,        +9.733077334568e-01,        +8.707701587090e-14,        +1.118340171185e-03,        +5.938275133903e-13,        +7.675689724895e-03
 2.41014000e+00,        +7.787408515850e-11,        +7.737574690278e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.166192985677e-13,        +2.781660909747e-03,        +9.149784992650e-13,        +1.182513301506e-02,        +2.166192985677e-13,        +2.781660909747e-03,        +9.149784992650e-13,        +1.182513301506e-02,        +1.313358690763e-13,        +1.686515723542e-03,        +5.565641073643e-13,        +7.193004651233e-03,        +7.743903437900e-11,        +9.944134075076e-01,        +7.531023965437e-11,        +9.733054951831e-01,        +8.709561185138e-14,        +1.118415859064e-03,        +5.939646417819e-13,        +7.676367150655e-03
 2.41014500e+00,        +7.788544701443e-11,        +7.738678734943e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.166762962926e-13,        +2.781986938490e-03,        +9.151835383903e-13,        +1.182609550979e-02,        +2.166762962926e-13,        +2.781986938490e-03,        +9.151835383903e-13,        +1.182609550979e-02,        +1.313680583519e-13,        +1.686682986201e-03,        +5.566898327263e-13,        +7.193603091605e-03,        +7.745028844538e-11,        +9.944128385246e-01,        +7.532081215903e-11,        +9.733032567811e-01,        +8.711421441060e-14,        +1.118491550732e-03,        +5.941018192843e-13,        +7.677044617470e-03
