        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43568000e+00,        +9.230551854605e-04,        -1.257747951153e-06,        +1.130221640788e-04
 2.43568500e+00,        +9.247909730542e-04,        -1.114570349607e-06,        +1.129854138355e-04
 2.43569000e+00,        +9.265322461674e-04,        -9.710466117294e-07,        +1.129485682224e-04
 2.43569500e+00,        +9.282790277425e-04,        -8.271754952500e-07,        +1.129116268702e-04
 2.43570000e+00,        +9.300313408423e-04,        -6.829557477700e-07,        +1.128745894075e-04
 2.43570500e+00,        +9.317892086494e-04,        -5.383861183377e-07,        +1.128374554609e-04
 2.43571000e+00,        +9.335526544673e-04,        -3.934653422513e-07,        +1.128002246555e-04
 2.43571500e+00,        +9.353217017211e-04,        -2.481921496305e-07,        +1.127628966143e-04
 2.43572000e+00,        +9.370963739585e-04,        -1.025652747968e-07,        +1.127254709585e-04
 2.43572500e+00,        +9.388766948502e-04,        +4.341657305513e-08,        +1.126879473073e-04
 2.43573000e+00,        +9.406626881907e-04,        +1.897546673376e-07,        +1.126503252783e-04
 2.43573500e+00,        +9.424543778993e-04,        +3.364503064939e-07,        +1.126126044870e-04
 2.43574000e+00,        +9.442517880210e-04,        +4.835047864923e-07,        +1.125747845468e-04
 2.43574500e+00,        +9.460549427269e-04,        +6.309194113286e-07,        +1.125368650695e-04
 2.43575000e+00,        +9.478638663149e-04,        +7.786954892327e-07,        +1.124988456648e-04
 2.43575500e+00,        +9.496785832112e-04,        +9.268343384515e-07,        +1.124607259404e-04
 2.43576000e+00,        +9.514991179709e-04,        +1.075337279929e-06,        +1.124225055022e-04
 2.43576500e+00,        +9.533254952775e-04,        +1.224205643266e-06,        +1.123841839540e-04
 2.43577000e+00,        +9.551577399461e-04,        +1.373440762343e-06,        +1.123457608975e-04
 2.43577500e+00,        +9.569958769217e-04,        +1.523043976307e-06,        +1.123072359328e-04
 2.43578000e+00,        +9.588399312821e-04,        +1.673016638329e-06,        +1.122686086574e-04
 2.43578500e+00,        +9.606899282378e-04,        +1.823360096572e-06,        +1.122298786673e-04
 2.43579000e+00,        +9.625458931326e-04,        +1.974075715415e-06,        +1.121910455562e-04
 2.43579500e+00,        +9.644078514449e-04,        +2.125164858962e-06,        +1.121521089159e-04
 2.43580000e+00,        +9.662758287883e-04,        +2.276628901157e-06,        +1.121130683358e-04
 2.43580500e+00,        +9.681498509127e-04,        +2.428469226318e-06,        +1.120739234037e-04
 2.43581000e+00,        +9.700299437053e-04,        +2.580687214769e-06,        +1.120346737050e-04
 2.43581500e+00,        +9.719161331905e-04,        +2.733284265068e-06,        +1.119953188230e-04
 2.43582000e+00,        +9.738084455325e-04,        +2.886261773634e-06,        +1.119558583390e-04
 2.43582500e+00,        +9.757069070337e-04,        +3.039621147117e-06,        +1.119162918323e-04
 2.43583000e+00,        +9.776115441392e-04,        +3.193363804118e-06,        +1.118766188796e-04
 2.43583500e+00,        +9.795223834333e-04,        +3.347491158080e-06,        +1.118368390560e-04
 2.43584000e+00,        +9.814394516444e-04,        +3.502004640251e-06,        +1.117969519340e-04
 2.43584500e+00,        +9.833627756428e-04,        +3.656905684775e-06,        +1.117569570843e-04
 2.43585000e+00,        +9.852923824443e-04,        +3.812195729488e-06,        +1.117168540749e-04
 2.43585500e+00,        +9.872282992089e-04,        +3.967876225652e-06,        +1.116766424722e-04
 2.43586000e+00,        +9.891705532429e-04,        +4.123948625822e-06,        +1.116363218398e-04
 2.43586500e+00,        +9.911191719998e-04,        +4.280414395625e-06,        +1.115958917396e-04
 2.43587000e+00,        +9.930741830809e-04,        +4.437274998794e-06,        +1.115553517308e-04
 2.43587500e+00,        +9.950356142362e-04,        +4.594531915709e-06,        +1.115147013706e-04
 2.43588000e+00,        +9.970034933658e-04,        +4.752186627137e-06,        +1.114739402139e-04
 2.43588500e+00,        +9.989778485203e-04,        +4.910240627158e-06,        +1.114330678131e-04
 2.43589000e+00,        +1.000958707903e-03,        +5.068695409965e-06,        +1.113920837187e-04
 2.43589500e+00,        +1.002946099868e-03,        +5.227552481908e-06,        +1.113509874784e-04
 2.43590000e+00,        +1.004940052926e-03,        +5.386813358215e-06,        +1.113097786379e-04
