        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41010000e+00,        +1.024283423303e-10,        +7.269763239614e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.162007820111e-13,        +3.087043828080e-03,        +9.407675702345e-13,        +1.294082818417e-02,        +3.162007820111e-13,        +3.087043828080e-03,        +9.407675702345e-13,        +1.294082818417e-02,        +1.771661771969e-13,        +1.729659712989e-03,        +5.873913764114e-13,        +8.079924435649e-03,        +1.018252288049e-10,        +9.941118492050e-01,        +7.051529134927e-11,        +9.699805760527e-01,        +1.097465661173e-13,        +1.071447253958e-03,        +6.541821002158e-13,        +8.998671327439e-03
 2.41010500e+00,        +1.024396418652e-10,        +7.270866924696e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.162729144462e-13,        +3.087407459530e-03,        +9.409472962755e-13,        +1.294133568969e-02,        +3.162729144462e-13,        +3.087407459530e-03,        +9.409472962755e-13,        +1.294133568969e-02,        +1.772045102501e-13,        +1.729843125412e-03,        +5.875092216369e-13,        +8.080318725698e-03,        +1.018363968124e-10,        +9.941112147423e-01,        +7.052588884649e-11,        +9.699790902091e-01,        +1.097676281280e-13,        +1.071534672802e-03,        +6.543238825636e-13,        +8.999255375465e-03
 2.41011000e+00,        +1.024509449895e-10,        +7.271970964770e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.163450708083e-13,        +3.087771136136e-03,        +9.411270779467e-13,        +1.294184317438e-02,        +3.163450708083e-13,        +3.087771136136e-03,        +9.411270779467e-13,        +1.294184317438e-02,        +1.772428557985e-13,        +1.730026558727e-03,        +5.876271039515e-13,        +8.080713011621e-03,        +1.018475683661e-10,        +9.941105802062e-01,        +7.053648975526e-11,        +9.699776043797e-01,        +1.097886967080e-13,        +1.071622098940e-03,        +6.544657105418e-13,        +8.999839434349e-03
 2.41011500e+00,        +1.024622517046e-10,        +7.273075359985e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.164172511080e-13,        +3.088134857901e-03,        +9.413069152712e-13,        +1.294235063822e-02,        +3.164172511080e-13,        +3.088134857901e-03,        +9.413069152712e-13,        +1.294235063822e-02,        +1.772812138473e-13,        +1.730210012937e-03,        +5.877450233709e-13,        +8.081107293409e-03,        +1.018587434678e-10,        +9.941099455968e-01,        +7.054709407704e-11,        +9.699761185643e-01,        +1.098097718600e-13,        +1.071709532371e-03,        +6.546075841699e-13,        +9.000423504085e-03
 2.41012000e+00,        +1.024735620121e-10,        +7.274180110495e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.164894553557e-13,        +3.088498624829e-03,        +9.414868082723e-13,        +1.294285808120e-02,        +3.164894553557e-13,        +3.088498624829e-03,        +9.414868082723e-13,        +1.294285808120e-02,        +1.773195844022e-13,        +1.730393488041e-03,        +5.878629799109e-13,        +8.081501571053e-03,        +1.018699221188e-10,        +9.941093109140e-01,        +7.055770181330e-11,        +9.699746327631e-01,        +1.098308535869e-13,        +1.071796973096e-03,        +6.547495034676e-13,        +9.001007584662e-03
 2.41012500e+00,        +1.024848759136e-10,        +7.275285216452e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.165616835620e-13,        +3.088862436921e-03,        +9.416667569732e-13,        +1.294336550330e-02,        +3.165616835620e-13,        +3.088862436921e-03,        +9.416667569732e-13,        +1.294336550330e-02,        +1.773579674684e-13,        +1.730576984042e-03,        +5.879809735871e-13,        +8.081895844543e-03,        +1.018811043207e-10,        +9.941086761579e-01,        +7.056831296550e-11,        +9.699731469761e-01,        +1.098519418915e-13,        +1.071884421113e-03,        +6.548914684546e-13,        +9.001591676072e-03
 2.41013000e+00,        +1.024961934105e-10,        +7.276390678007e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.166339357374e-13,        +3.089226294182e-03,        +9.418467613971e-13,        +1.294387290451e-02,        +3.166339357374e-13,        +3.089226294182e-03,        +9.418467613971e-13,        +1.294387290451e-02,        +1.773963630515e-13,        +1.730760500939e-03,        +5.880990044152e-13,        +8.082290113871e-03,        +1.018922900750e-10,        +9.941080413285e-01,        +7.057892753511e-11,        +9.699716612033e-01,        +1.098730367765e-13,        +1.071971876422e-03,        +6.550334791505e-13,        +9.002175778306e-03
 2.41013500e+00,        +1.025075145045e-10,        +7.277496495314e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.167062118924e-13,        +3.089590196614e-03,        +9.420268215675e-13,        +1.294438028481e-02,        +3.167062118924e-13,        +3.089590196614e-03,        +9.420268215675e-13,        +1.294438028481e-02,        +1.774347711569e-13,        +1.730944038733e-03,        +5.882170724109e-13,        +8.082684379027e-03,        +1.019034793832e-10,        +9.941074064256e-01,        +7.058954552358e-11,        +9.699701754448e-01,        +1.098941382447e-13,        +1.072059339024e-03,        +6.551755355749e-13,        +9.002759891356e-03
 2.41014000e+00,        +1.025188391970e-10,        +7.278602668524e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.167785120375e-13,        +3.089954144221e-03,        +9.422069375074e-13,        +1.294488764419e-02,        +3.167785120375e-13,        +3.089954144221e-03,        +9.422069375074e-13,        +1.294488764419e-02,        +1.774731917900e-13,        +1.731127597427e-03,        +5.883351775901e-13,        +8.083078640003e-03,        +1.019146722469e-10,        +9.941067714494e-01,        +7.060016693239e-11,        +9.699686897006e-01,        +1.099152462990e-13,        +1.072146808917e-03,        +6.553176377476e-13,        +9.003344015212e-03
 2.41014500e+00,        +1.025301674896e-10,        +7.279709197790e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +3.168508361833e-13,        +3.090318137006e-03,        +9.423871092403e-13,        +1.294539498262e-02,        +3.168508361833e-13,        +3.090318137006e-03,        +9.423871092403e-13,        +1.294539498262e-02,        +1.775116249564e-13,        +1.731311177019e-03,        +5.884533199684e-13,        +8.083472896789e-03,        +1.019258686675e-10,        +9.941061363999e-01,        +7.061079176300e-11,        +9.699672039707e-01,        +1.099363609421e-13,        +1.072234286102e-03,        +6.554597856883e-13,        +9.003928149867e-03
