        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 2.41538000e+00,        +1.460695301332e-09,        +1.396238610286e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.141706158304e-12,        +2.150829235529e-03,        +1.816644225764e-11,        +1.301098689280e-02
 2.41540000e+00,        +1.464906133232e-09,        +1.400445015806e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.152013152352e-12,        +2.151682678396e-03,        +1.822561242573e-11,        +1.301415779987e-02
 2.41542000e+00,        +1.469136397870e-09,        +1.404670847888e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.162368738012e-12,        +2.152535831661e-03,        +1.828506147615e-11,        +1.301732822579e-02
 2.41544000e+00,        +1.473386214535e-09,        +1.408916225832e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.172773216380e-12,        +2.153388694071e-03,        +1.834479113952e-11,        +1.302049816957e-02
 2.41546000e+00,        +1.477655703432e-09,        +1.413181269849e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.183226890866e-12,        +2.154241264371e-03,        +1.840480315979e-11,        +1.302366763024e-02
 2.41548000e+00,        +1.481944985686e-09,        +1.417466101072e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.193730067218e-12,        +2.155093541303e-03,        +1.846509929435e-11,        +1.302683660681e-02
 2.41550000e+00,        +1.486254183352e-09,        +1.421770841564e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.204283053544e-12,        +2.155945523610e-03,        +1.852568131420e-11,        +1.303000509830e-02
 2.41552000e+00,        +1.490583419421e-09,        +1.426095614327e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.214886160329e-12,        +2.156797210033e-03,        +1.858655100401e-11,        +1.303317310374e-02
 2.41554000e+00,        +1.494932817834e-09,        +1.430440543309e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.225539700464e-12,        +2.157648599311e-03,        +1.864771016230e-11,        +1.303634062215e-02
 2.41556000e+00,        +1.499302503485e-09,        +1.434805753413e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.236243989262e-12,        +2.158499690182e-03,        +1.870916060154e-11,        +1.303950765254e-02
 2.41558000e+00,        +1.503692602233e-09,        +1.439191370508e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.246999344483e-12,        +2.159350481383e-03,        +1.877090414828e-11,        +1.304267419395e-02
 2.41560000e+00,        +1.508103240909e-09,        +1.443597521436e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.257806086360e-12,        +2.160200971650e-03,        +1.883294264329e-11,        +1.304584024538e-02
 2.41562000e+00,        +1.512534547329e-09,        +1.448024334022e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.268664537615e-12,        +2.161051159715e-03,        +1.889527794170e-11,        +1.304900580588e-02
 2.41564000e+00,        +1.516986650297e-09,        +1.452471937080e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.279575023486e-12,        +2.161901044313e-03,        +1.895791191312e-11,        +1.305217087446e-02
 2.41566000e+00,        +1.521459679619e-09,        +1.456940460427e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.290537871753e-12,        +2.162750624175e-03,        +1.902084644176e-11,        +1.305533545014e-02
 2.41568000e+00,        +1.525953766110e-09,        +1.461430034891e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.301553412755e-12,        +2.163599898031e-03,        +1.908408342660e-11,        +1.305849953195e-02
 2.41570000e+00,        +1.530469041604e-09,        +1.465940792316e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.312621979420e-12,        +2.164448864609e-03,        +1.914762478152e-11,        +1.306166311892e-02
 2.41572000e+00,        +1.535005638966e-09,        +1.470472865578e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.323743907287e-12,        +2.165297522638e-03,        +1.921147243541e-11,        +1.306482621008e-02
 2.41574000e+00,        +1.539563692095e-09,        +1.475026388589e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.334919534530e-12,        +2.166145870842e-03,        +1.927562833235e-11,        +1.306798880444e-02
 2.41576000e+00,        +1.544143335942e-09,        +1.479601496313e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.346149201984e-12,        +2.166993907948e-03,        +1.934009443172e-11,        +1.307115090105e-02
 2.41578000e+00,        +1.548744706512e-09,        +1.484198324766e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.357433253166e-12,        +2.167841632678e-03,        +1.940487270837e-11,        +1.307431249892e-02
 2.41580000e+00,        +1.553367940880e-09,        +1.488817011039e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.368772034308e-12,        +2.168689043755e-03,        +1.946996515276e-11,        +1.307747359709e-02
 2.41582000e+00,        +1.558013177199e-09,        +1.493457693295e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.380165894372e-12,        +2.169536139899e-03,        +1.953537377108e-11,        +1.308063419458e-02
 2.41584000e+00,        +1.562680554708e-09,        +1.498120510789e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.391615185089e-12,        +2.170382919831e-03,        +1.960110058544e-11,        +1.308379429043e-02
 2.41586000e+00,        +1.567370213744e-09,        +1.502805603873e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.403120260972e-12,        +2.171229382267e-03,        +1.966714763400e-11,        +1.308695388367e-02
 2.41588000e+00,        +1.572082295754e-09,        +1.507513114007e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.414681479349e-12,        +2.172075525926e-03,        +1.973351697111e-11,        +1.309011297332e-02
 2.41590000e+00,        +1.576816943304e-09,        +1.512243183771e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.426299200392e-12,        +2.172921349522e-03,        +1.980021066748e-11,        +1.309327155842e-02
 2.41592000e+00,        +1.581574300086e-09,        +1.516995956874e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.437973787137e-12,        +2.173766851770e-03,        +1.986723081034e-11,        +1.309642963800e-02
 2.41594000e+00,        +1.586354510936e-09,        +1.521771578168e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.449705605518e-12,        +2.174612031382e-03,        +1.993457950359e-11,        +1.309958721110e-02
 2.41596000e+00,        +1.591157721839e-09,        +1.526570193653e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.461495024389e-12,        +2.175456887070e-03,        +2.000225886794e-11,        +1.310274427675e-02
 2.41598000e+00,        +1.595984079942e-09,        +1.531391950494e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.473342415557e-12,        +2.176301417545e-03,        +2.007027104112e-11,        +1.310590083398e-02
 2.41600000e+00,        +1.600833733566e-09,        +1.536236997026e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.485248153805e-12,        +2.177145621514e-03,        +2.013861817799e-11,        +1.310905688183e-02
 2.41602000e+00,        +1.605706832214e-09,        +1.541105482773e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.497212616926e-12,        +2.177989497687e-03,        +2.020730245072e-11,        +1.311221241933e-02
 2.41604000e+00,        +1.610603526587e-09,        +1.545997558451e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.509236185748e-12,        +2.178833044768e-03,        +2.027632604897e-11,        +1.311536744553e-02
 2.41606000e+00,        +1.615523968591e-09,        +1.550913375984e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.521319244161e-12,        +2.179676261462e-03,        +2.034569118006e-11,        +1.311852195945e-02
 2.41608000e+00,        +1.620468311351e-09,        +1.555853088517e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.533462179155e-12,        +2.180519146474e-03,        +2.041540006911e-11,        +1.312167596014e-02
 2.41610000e+00,        +1.625436709222e-09,        +1.560816850424e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.545665380841e-12,        +2.181361698505e-03,        +2.048545495924e-11,        +1.312482944663e-02
 2.41612000e+00,        +1.630429317800e-09,        +1.565804817320e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.557929242483e-12,        +2.182203916257e-03,        +2.055585811174e-11,        +1.312798241797e-02
 2.41614000e+00,        +1.635446293937e-09,        +1.570817146076e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.570254160534e-12,        +2.183045798428e-03,        +2.062661180623e-11,        +1.313113487318e-02
 2.41616000e+00,        +1.640487795749e-09,        +1.575853994829e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.582640534659e-12,        +2.183887343717e-03,        +2.069771834086e-11,        +1.313428681133e-02
 2.41618000e+00,        +1.645553982631e-09,        +1.580915522995e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.595088767771e-12,        +2.184728550821e-03,        +2.076918003246e-11,        +1.313743823143e-02
 2.41620000e+00,        +1.650645015268e-09,        +1.586001891280e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.607599266063e-12,        +2.185569418436e-03,        +2.084099921675e-11,        +1.314058913254e-02
 2.41622000e+00,        +1.655761055648e-09,        +1.591113261694e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.620172439035e-12,        +2.186409945255e-03,        +2.091317824850e-11,        +1.314373951370e-02
 2.41624000e+00,        +1.660902267076e-09,        +1.596249797564e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.632808699532e-12,        +2.187250129971e-03,        +2.098571950176e-11,        +1.314688937395e-02
 2.41626000e+00,        +1.666068814183e-09,        +1.601411663543e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.645508463772e-12,        +2.188089971277e-03,        +2.105862536997e-11,        +1.315003871234e-02
 2.41628000e+00,        +1.671260862944e-09,        +1.606599025628e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.658272151381e-12,        +2.188929467862e-03,        +2.113189826623e-11,        +1.315318752790e-02
 2.41630000e+00,        +1.676478580685e-09,        +1.611812051172e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.671100185428e-12,        +2.189768618414e-03,        +2.120554062345e-11,        +1.315633581969e-02
 2.41632000e+00,        +1.681722136103e-09,        +1.617050908894e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.683992992455e-12,        +2.190607421623e-03,        +2.127955489454e-11,        +1.315948358675e-02
 2.41634000e+00,        +1.686991699274e-09,        +1.622315768895e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.696951002512e-12,        +2.191445876173e-03,        +2.135394355262e-11,        +1.316263082813e-02
 2.41636000e+00,        +1.692287441669e-09,        +1.627606802671e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.709974649195e-12,        +2.192283980750e-03,        +2.142870909123e-11,        +1.316577754287e-02
 2.41638000e+00,        +1.697609536167e-09,        +1.632924183126e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.723064369676e-12,        +2.193121734038e-03,        +2.150385402451e-11,        +1.316892373003e-02
 2.41640000e+00,        +1.702958157068e-09,        +1.638268084588e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.736220604742e-12,        +2.193959134717e-03,        +2.157938088740e-11,        +1.317206938865e-02
 2.41642000e+00,        +1.708333480111e-09,        +1.643638682821e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.749443798826e-12,        +2.194796181470e-03,        +2.165529223588e-11,        +1.317521451778e-02
 2.41644000e+00,        +1.713735682482e-09,        +1.649036155038e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.762734400050e-12,        +2.195632872976e-03,        +2.173159064713e-11,        +1.317835911647e-02
 2.41646000e+00,        +1.719164942832e-09,        +1.654460679920e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.776092860255e-12,        +2.196469207913e-03,        +2.180827871978e-11,        +1.318150318377e-02
 2.41648000e+00,        +1.724621441293e-09,        +1.659912437624e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.789519635041e-12,        +2.197305184958e-03,        +2.188535907410e-11,        +1.318464671873e-02
 2.41650000e+00,        +1.730105359486e-09,        +1.665391609803e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.803015183804e-12,        +2.198140802786e-03,        +2.196283435223e-11,        +1.318778972042e-02
 2.41652000e+00,        +1.735616880545e-09,        +1.670898379620e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.816579969774e-12,        +2.198976060071e-03,        +2.204070721838e-11,        +1.319093218787e-02
 2.41654000e+00,        +1.741156189125e-09,        +1.676432931758e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.830214460051e-12,        +2.199810955487e-03,        +2.211898035907e-11,        +1.319407412015e-02
 2.41656000e+00,        +1.746723471419e-09,        +1.681995452443e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.843919125646e-12,        +2.200645487705e-03,        +2.219765648333e-11,        +1.319721551630e-02
 2.41658000e+00,        +1.752318915175e-09,        +1.687586129454e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.857694441521e-12,        +2.201479655395e-03,        +2.227673832295e-11,        +1.320035637539e-02
 2.41660000e+00,        +1.757942709709e-09,        +1.693205152137e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.871540886624e-12,        +2.202313457227e-03,        +2.235622863269e-11,        +1.320349669647e-02
 2.41662000e+00,        +1.763595045923e-09,        +1.698852711429e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.885458943935e-12,        +2.203146891866e-03,        +2.243613019052e-11,        +1.320663647859e-02
 2.41664000e+00,        +1.769276116319e-09,        +1.704528999864e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.899449100500e-12,        +2.203979957980e-03,        +2.251644579784e-11,        +1.320977572082e-02
 2.41666000e+00,        +1.774986115016e-09,        +1.710234211595e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.913511847476e-12,        +2.204812654233e-03,        +2.259717827975e-11,        +1.321291442222e-02
 2.41668000e+00,        +1.780725237767e-09,        +1.715968542407e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.927647680175e-12,        +2.205644979289e-03,        +2.267833048523e-11,        +1.321605258183e-02
 2.41670000e+00,        +1.786493681972e-09,        +1.721732189739e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.941857098097e-12,        +2.206476931811e-03,        +2.275990528744e-11,        +1.321919019873e-02
 2.41672000e+00,        +1.792291646700e-09,        +1.727525352693e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.956140604982e-12,        +2.207308510458e-03,        +2.284190558394e-11,        +1.322232727198e-02
 2.41674000e+00,        +1.798119332700e-09,        +1.733348232055e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.970498708847e-12,        +2.208139713890e-03,        +2.292433429692e-11,        +1.322546380062e-02
 2.41676000e+00,        +1.803976942422e-09,        +1.739201030313e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.984931922031e-12,        +2.208970540765e-03,        +2.300719437348e-11,        +1.322859978374e-02
 2.41678000e+00,        +1.809864680035e-09,        +1.745083951673e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.999440761239e-12,        +2.209800989741e-03,        +2.309048878588e-11,        +1.323173522039e-02
 2.41680000e+00,        +1.815782751440e-09,        +1.750997202073e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.014025747587e-12,        +2.210631059472e-03,        +2.317422053177e-11,        +1.323487010963e-02
 2.41682000e+00,        +1.821731364290e-09,        +1.756940989208e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.028687406645e-12,        +2.211460748613e-03,        +2.325839263447e-11,        +1.323800445054e-02
 2.41684000e+00,        +1.827710728010e-09,        +1.762915522540e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.043426268484e-12,        +2.212290055816e-03,        +2.334300814322e-11,        +1.324113824217e-02
 2.41686000e+00,        +1.833721053810e-09,        +1.768921013322e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.058242867723e-12,        +2.213118979733e-03,        +2.342807013347e-11,        +1.324427148359e-02
 2.41688000e+00,        +1.839762554709e-09,        +1.774957674613e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.073137743573e-12,        +2.213947519014e-03,        +2.351358170712e-11,        +1.324740417387e-02
 2.41690000e+00,        +1.845835445548e-09,        +1.781025721298e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.088111439884e-12,        +2.214775672308e-03,        +2.359954599281e-11,        +1.325053631209e-02
 2.41692000e+00,        +1.851939943015e-09,        +1.787125370104e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.103164505196e-12,        +2.215603438261e-03,        +2.368596614619e-11,        +1.325366789729e-02
 2.41694000e+00,        +1.858076265655e-09,        +1.793256839623e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.118297492784e-12,        +2.216430815520e-03,        +2.377284535016e-11,        +1.325679892857e-02
 2.41696000e+00,        +1.864244633899e-09,        +1.799420350328e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.133510960709e-12,        +2.217257802730e-03,        +2.386018681525e-11,        +1.325992940499e-02
 2.41698000e+00,        +1.870445270075e-09,        +1.805616124595e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.148805471864e-12,        +2.218084398534e-03,        +2.394799377978e-11,        +1.326305932561e-02
 2.41700000e+00,        +1.876678398434e-09,        +1.811844386718e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.164181594029e-12,        +2.218910601573e-03,        +2.403626951025e-11,        +1.326618868952e-02
 2.41702000e+00,        +1.882944245166e-09,        +1.818105362936e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.179639899917e-12,        +2.219736410490e-03,        +2.412501730158e-11,        +1.326931749578e-02
 2.41704000e+00,        +1.889243038420e-09,        +1.824399281444e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.195180967225e-12,        +2.220561823921e-03,        +2.421424047741e-11,        +1.327244574348e-02
 2.41706000e+00,        +1.895575008328e-09,        +1.830726372424e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.210805378695e-12,        +2.221386840507e-03,        +2.430394239041e-11,        +1.327557343168e-02
 2.41708000e+00,        +1.901940387020e-09,        +1.837086868053e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.226513722149e-12,        +2.222211458884e-03,        +2.439412642258e-11,        +1.327870055945e-02
 2.41710000e+00,        +1.908339408649e-09,        +1.843481002537e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.242306590560e-12,        +2.223035677685e-03,        +2.448479598556e-11,        +1.328182712589e-02
 2.41712000e+00,        +1.914772309411e-09,        +1.849909012121e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.258184582095e-12,        +2.223859495547e-03,        +2.457595452091e-11,        +1.328495313006e-02
 2.41714000e+00,        +1.921239327566e-09,        +1.856371135117e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.274148300170e-12,        +2.224682911100e-03,        +2.466760550047e-11,        +1.328807857105e-02
 2.41716000e+00,        +1.927740703459e-09,        +1.862867611924e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.290198353512e-12,        +2.225505922977e-03,        +2.475975242665e-11,        +1.329120344793e-02
 2.41718000e+00,        +1.934276679543e-09,        +1.869398685048e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.306335356205e-12,        +2.226328529806e-03,        +2.485239883274e-11,        +1.329432775979e-02
 2.41720000e+00,        +1.940847500399e-09,        +1.875964599124e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.322559927754e-12,        +2.227150730217e-03,        +2.494554828326e-11,        +1.329745150570e-02
 2.41722000e+00,        +1.947453412762e-09,        +1.882565600944e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.338872693139e-12,        +2.227972522838e-03,        +2.503920437429e-11,        +1.330057468474e-02
 2.41724000e+00,        +1.954094665539e-09,        +1.889201939471e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.355274282871e-12,        +2.228793906292e-03,        +2.513337073376e-11,        +1.330369729601e-02
 2.41726000e+00,        +1.960771509837e-09,        +1.895873865869e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.371765333055e-12,        +2.229614879205e-03,        +2.522805102186e-11,        +1.330681933859e-02
 2.41728000e+00,        +1.967484198981e-09,        +1.902581633521e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.388346485443e-12,        +2.230435440201e-03,        +2.532324893130e-11,        +1.330994081155e-02
 2.41730000e+00,        +1.974232988542e-09,        +1.909325498058e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.405018387499e-12,        +2.231255587899e-03,        +2.541896818774e-11,        +1.331306171399e-02
 2.41732000e+00,        +1.981018136356e-09,        +1.916105717378e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.421781692460e-12,        +2.232075320922e-03,        +2.551521255004e-11,        +1.331618204499e-02
 2.41734000e+00,        +1.987839902553e-09,        +1.922922551669e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.438637059392e-12,        +2.232894637889e-03,        +2.561198581070e-11,        +1.331930180364e-02
 2.41736000e+00,        +1.994698549578e-09,        +1.929776263442e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.455585153256e-12,        +2.233713537415e-03,        +2.570929179621e-11,        +1.332242098903e-02
 2.41738000e+00,        +2.001594342217e-09,        +1.936667117545e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.472626644971e-12,        +2.234532018119e-03,        +2.580713436733e-11,        +1.332553960024e-02
 2.41740000e+00,        +2.008527547622e-09,        +1.943595381193e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.489762211478e-12,        +2.235350078615e-03,        +2.590551741957e-11,        +1.332865763638e-02
 2.41742000e+00,        +2.015498435333e-09,        +1.950561323995e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.506992535797e-12,        +2.236167717517e-03,        +2.600444488348e-11,        +1.333177509653e-02
 2.41744000e+00,        +2.022507277311e-09,        +1.957565217976e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.524318307108e-12,        +2.236984933436e-03,        +2.610392072507e-11,        +1.333489197978e-02
 2.41746000e+00,        +2.029554347955e-09,        +1.964607337604e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.541740220800e-12,        +2.237801724983e-03,        +2.620394894617e-11,        +1.333800828522e-02
 2.41748000e+00,        +2.036639924134e-09,        +1.971687959818e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.559258978548e-12,        +2.238618090769e-03,        +2.630453358482e-11,        +1.334112401196e-02
 2.41750000e+00,        +2.043764285213e-09,        +1.978807364051e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.576875288379e-12,        +2.239434029401e-03,        +2.640567871565e-11,        +1.334423915908e-02
 2.41752000e+00,        +2.050927713076e-09,        +1.985965832260e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.594589864738e-12,        +2.240249539486e-03,        +2.650738845031e-11,        +1.334735372569e-02
 2.41754000e+00,        +2.058130492160e-09,        +1.993163648954e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.612403428561e-12,        +2.241064619630e-03,        +2.660966693785e-11,        +1.335046771088e-02
 2.41756000e+00,        +2.065372909475e-09,        +2.000401101215e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.630316707339e-12,        +2.241879268435e-03,        +2.671251836509e-11,        +1.335358111374e-02
 2.41758000e+00,        +2.072655254635e-09,        +2.007678478735e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.648330435198e-12,        +2.242693484506e-03,        +2.681594695710e-11,        +1.335669393338e-02
